"id","Metacritic_Score","Rank","Album_Name","Singer","Release_Date","Desciption","Release_Year","RYM_Rating","Genres","Language","Tracks","Colorscheme","RYM_Rank","Num_of_RYM_Ratings","avg_pop","max_pop","min_pop","med_pop","n"
11,88,11,"I Loved You at Your Darkest","Behemoth","2018-10-05","The 11th full-length release for the Polish death metal band was self-produced and features a 17-piece Polish orchestra arranged by Jan Stoklosa.",2018,3.33,"Black Metal, Death Metal
Melodic Black Metal","English","['Solve', 'Wolves ov Siberia', 'God = Dog', 'Ecclesia Diabolica Catholica', 'Bartzabel', 'If Crucifixion Was Not Enough', 'Angelvs XIII', 'Sabbath Mater', 'Havohej Pantocrator', 'Rom 5:8', 'We Are the Next 1000 Years', 'Coagvla']","['#928980', '#a49b94', '#c6c8c3', '#6f7575']","#545 for 2018",2599,25.5833333333333,41,19,24,12
12,88,12,"Negative Capability","Marianne Faithfull","2018-11-02","The 21st full-length studio release for the British singer-songwriter features contributions from such artists as Warren Ellis, Nick Cave, Rob Ellis, Ed Harcourt and Mark Lanegan.",2018,3.56,"Singer-Songwriter, Chamber Folk
Chamber Pop","English","['Misunderstanding', 'The Gypsy Faerie Queen', 'As Tears Go By', 'In My Own Particular Way', 'Born to Live', 'Witches Song', ""It's All Over Now, Baby Blue"", 'They Come at Night', ""Don't Go"", 'No Moon in Paris']","['#c8c4b4', '#f5dfb6', '#adaca0', '#ffae84', '#f48540', '#cd5e19']","#138 for 2018",391,21.1538461538462,39,13,20,13
13,87,13,"Dirty Computer","Janelle Monáe","2018-04-27","The third LP (and first in five years) from the actress and recording artist features appearances by Brian Wilson, Pharrell Williams, Zoë Kravitz, and Grimes, plus musical contributions from Prince just prior to his death.",2018,3.48,"Contemporary R&B, Art Pop
Synth Funk, Alternative R&B, Conscious Hip Hop, Synthpop, Neo-Soul, Psychedelic Soul","English","['Dirty Computer', 'Crazy, Classic, Life', 'Take a Byte', ""Jane's Dream"", 'Screwed', 'Django Jane', 'Pynk', 'Make Me Feel', 'I Got the Juice', 'I Like That', ""Don't Judge Me"", ""Stevie's Dream"", 'So Afraid', 'Americans']","['#5b5980', '#5c2119', '#9c8e8b', '#8ca39d', '#e59c40', '#c0b4a5', '#e1841c', '#afc6be', '#bb052e', '#ed2973']","#188 for 2018",8453,41.8571428571429,64,1,42.5,14
14,87,14,"Twin Fantasy","Car Seat Headrest","2018-02-16","Will Toledo re-recorded songs from his Bandcamp-released 2011 album of the same name with a full-band for this release.",2018,3.76,"Slacker Rock
Singer-Songwriter, Noise Pop","English","['My Boy (Twin Fantasy)', 'Beach Life-in-Death', 'Stop Smoking', 'Sober to Death', 'Nervous Young Inhumans', 'Bodys', 'Cute Thing', 'High to Death', 'Famous Prophets (Minds)', 'Twin Fantasy (Those Boys)']","['#7a7a7a', '#cccccc']","#11 for 2011, #1,410 overall",13133,53,63,46,53.5,10
15,87,15,"Microshift","Hookworms","2018-02-02","The third full-length release for the British rock band features electronic elements such as samples, loops, and synths.",2018,3.16,"Neo-Psychedelia
Synthpop, Krautrock","","['Negative Space', 'Static Resistance', 'Ullswater', 'The Soft Season', 'Opener', 'Each Time We Pass', 'Boxing Day', 'Reunion', 'Shortcomings']","['#ccb8aa', '#f96400', '#c8b5af', '#818181', '#d95700', '#ff7a20', '#d3bdb0', '#fd6b04']","#1,013 for 2018",1208,15,28,8,12,9
16,87,16,"Cusp","Alela Diane","2018-02-09","The sixth full-length release from the singer-songwriter features contributions from Peter Broderick, Heather Woods Broderick, Rob Burger, Ryan Francesconi, Daniel Hunt, and Luke Ydstie.",2018,3.35,"Contemporary Folk, Singer-Songwriter
Chamber Folk","English","['Albatross', 'The Threshold', 'Moves Us Blind', 'Emigre', 'Never Easy', 'Song for Sandy', 'Buoyant', 'Ether & Wood', 'Yellow Gold', 'So Tired', 'Wild Ceaseless Song']","['#dbd0ba', '#cacacc', '#d6c3a3', '#c3a88a']","#619 for 2018",329,27.2727272727273,46,18,24,11
17,87,17,"Cocoon Crush","Objekt","2018-11-09","This is the second full-length release for Berlin-based electronic producer TJ Hertz.",2018,3.28,"IDM, UK Bass
Glitch, Ambient, Deconstructed Club","","['Lost and Found (Lost Mix)', 'Dazzle Anew', '35', 'Nervous Silk', 'Deadlock', 'Rest Yr Troubles Over Me', 'Silica', 'Runaway', 'Secret Snake', 'Another Knot', 'Lost and Found (Found Mix)']","['#7a8b99', '#94848e', '#a099ab', '#bebac8']","#759 for 2018",969,12.0909090909091,20,8,11,11
18,87,18,"You Won't Get What You Want","Daughters","2018-10-26","The fourth full-length studio release for the Rhode Island noise-rock band is its first since the quartet reunited in 2013.",2018,3.86,"Noise Rock, Industrial Rock
No Wave, Art Punk, Post-Hardcore, Post-Punk","English","['City Song', 'Long Road, No Turns', 'Satan in the Wait', 'The Flammable Man', 'The Lords Song', 'Less Sex', 'Daughter', 'The Reason They Hate Me', 'Ocean Song', 'Guest House']","['#7f8384', '#7c7e7d', '#c4c7c8', '#babcbb', '#acb6b5']","#4 for 2018, #362 overall",23072,31.6,38,28,31,10
19,87,19,"Be the Cowboy","Mitski","2018-08-17","The fifth full-length release for the New York City indie rock artist was recorded with producer Patrick Hyland.",2018,3.55,"Art Pop, Indie Rock
Chamber Pop, Indie Pop, Dream Pop, New Wave","English","['Geyser', ""Why Didn't You Stop Me?"", 'Old Friend', 'A Pearl', 'Lonesome Love', 'Remember My Name', 'Me and My Husband', 'Come Into the Water', 'Nobody', 'Pink in the Night', 'A Horse Named Cold Air', 'Washing Machine Heart', 'Blue Light', 'Two Slow Dancers']","['#bbb7ba', '#a69988', '#dcb6ad', '#9e704f', '#543e27', '#939393', '#758384']","#72 for 2018, #9,509 overall",12172,64.6428571428571,84,51,61.5,14
20,87,20,"Soil","serpentwithfeet","2018-06-08","The debut full-length release for the New York-based alternative R&B artist features production from Clams Casino, Paul Epworth, and Katie Gately.",2018,3.35,"Alternative R&B, Art Pop
Gospel, Ambient Pop, UK Bass, Chamber Pop","English","['Whisper', 'Messy', 'Wrong Tree', 'Fragrant', 'Mourning Song', 'Cherubim', 'Seedless', 'Invoice', 'Waft', 'Slow Syrup', 'Bless Ur Heart']","['#a0a5a9', '#ffd98d', '#f4c052', '#e7b748', '#5a8de9', '#bc935d', '#a1967a', '#b78524', '#debd6c', '#734c00']","#521 for 2018",2535,22.9090909090909,32,15,19,11
21,87,21,"In a Poem Unlimited","U.S. Girls","2018-02-16","The sixth full-length release for Meg Remy as U.S. Girls was recorded with a live band and was co-produced with Steve Chahley.",2018,3.51,"Art Pop, Neo-Psychedelia, Psychedelic Pop
Space Disco, Alternative Dance, Hypnagogic Pop","English","['Velvet 4 Sale', 'Rage of Plastics', 'M.A.H.', 'Why Do I Lose My Voice When I Have Something to Say?', 'Rosebud', 'Incidental Boogie', 'L-Over', 'Pearly Gates', 'Poem', 'Traviata', 'Time']","['#a9554a', '#821b30', '#ccb8a4', '#ccbcb4']","#171 for 2018",6255,28.3636363636364,50,0,32,11
22,87,22,"Cocoa Sugar","Young Fathers","2018-03-09","The third full-length release for the Edinburgh-based trio was recorded in the band's studio.",2018,3.36,"Indietronica, Neo-Soul
Experimental Hip Hop, Alternative R&B, Art Pop, Glitch Pop","English","['See How', 'Fee Fi', 'In My View', 'Turn', 'Lord', 'Tremolo', 'Wow', 'Border Girl', 'Holy Ghost', 'Wire', 'Toy', 'Picking You']","['#52857c', '#7f7e7c', '#868a8b', '#00155b']","#476 for 2018",3704,35.75,46,29,36,12
23,87,23,"Freedom","Amen Dunes","2018-03-30","The fifth full-length release for Damon McMahon features contributions from Delicate Steve, Parker Kindred, Gus Seyffert , Jordi Wheeler,  Nick Zinner and was produced by Chris Coady.",2018,3.34,"Neo-Psychedelia, Singer-Songwriter
Heartland Rock, Psychedelic Folk","English","['Intro', 'Blue Rose', 'Time', 'Skipping School', 'Calling Paul the Suffering', 'Miki Dora', 'Satudarah', 'Believe', 'Dracula', 'Freedom', 'L.A.']","['#cbcbcb', '#888888', '#b5afb3', '#b2adb1', '#615b5f']","#555 for 2018",1895,30.9090909090909,42,25,27,11
24,87,24,"Isolation","Kali Uchis","2018-04-06","The debut full-length studio release for the Virginia artist features guest appearances from BIA, Bootsy Collins, Steve Lacy, Reykon, Jorja Smith and Tyler, The Creator as well as production from BadBadNotGood, Gorillaz, Greg Kurstin, Kevin Parker, Dave Sitek, and Thundercat.",2018,3.64,"Neo-Soul, Contemporary R&B
Psychedelic Soul, Synth Funk, Sophisti-Pop, Alternative R&B","English, Spanish","['Body Language (Intro)', 'Miami', 'Just a Stranger', 'Flight 22', 'Your Teeth in My Neck', 'Tyrant', 'Dead to Me', 'Nuestro planeta', 'In My Dreams', 'Gotta Get Up (Interlude)', 'Tomorrow', 'Coming Home (Interlude)', 'After the Storm', 'Feel Like a Fool', 'Killer']","['#22266d', '#8b6e50', '#bc9b7a', '#8f8ec7', '#0f80e0', '#702124', '#9e8e36', '#81513b', '#0c1687', '#9f9ebd']","#32 for 2018, #5,511 overall",9782,59.5333333333333,79,49,54,15
25,87,25,"Springsteen on Broadway","Bruce Springsteen","2018-12-14","The two-CD set features the complete audio of Springsteen's one-man Broadway show at Walter Kerr Theatre recorded on July 17 and 18, 2018 for Netflix.",2018,3.77,"Singer-Songwriter, Spoken Word, Acoustic Rock
Contemporary Folk, Heartland Rock","English","['Growin’ Up (Introduction)', 'Growin’ Up', 'My Hometown (Introduction)', 'My Hometown', 'My Father’s House (Introduction)', 'My Father’s House', 'The Wish (Introduction)', 'The Wish', 'Thunder Road (Introduction)', 'Thunder Road', 'The Promised Land (Introduction)', 'The Promised Land', 'Born in the U.S.A. (Introduction)', 'Born in the U.S.A.', 'Tenth Avenue Freeze-Out (Introduction)', 'Tenth Avenue Freeze-Out', 'Tougher Than the Rest (Introduction)', 'Tougher Than the Rest', 'Brilliant Disguise (Introduction)', 'Brilliant Disguise', 'Long Time Comin’ (Introduction)', 'Long Time Comin’', 'The Ghost of Tom Joad (Introduction)', 'The Ghost of Tom Joad', 'The Rising', 'Dancing in the Dark (Introduction)', 'Dancing in the Dark', 'Land of Hope and Dreams', 'Born to Run (Introduction)', 'Born to Run']","['#b7b7b7', '#9d9d9d', '#979797', '#b8b8b8', '#6e6e6e', '#a5a5a5', '#818181', '#acacac']","#1,466 for live",173,25.9,36,21,24,20
26,86,26,"Oil Of Every Pearl's Un-Insides","SOPHIE","2018-06-15","The debut full-length solo release for the Los Angeles-based Scottish electronic pop artist features songs co-written with Calia Thompson-Hannant (aka Cecile Believe).",2018,3.77,"Bubblegum Bass, Deconstructed Club
Art Pop, Wonky, Glitch Pop, Ambient, Ambient Pop, Hyperpop","English","[""It's Okay to Cry"", 'Ponyboy', 'Faceshopping', 'Is It Cold in the Water?', 'Infatuation', 'Not Okay', 'Pretending', 'Immaterial', 'Whole New World / Pretend World']","['#8d7350', '#c7c5b9', '#593c2a', '#9a8395', '#ab95ac', '#c3b5ac', '#908e91']","#9 for 2018, #1,023 overall",19489,40.5555555555556,53,30,43,9
27,86,27,"Sparrow","Ashley Monroe","2018-04-20","The fourth full-length release for the country singer-songwriter was produced with Dave Cobb.",2018,3.27,"Contemporary Country, Country Pop
Chamber Pop, Nashville Sound, Countrypolitan","English","['Orphan', 'Hard on a Heart', 'Hands on You', ""Mother's Daughter"", 'Rita', 'Wild Love', 'This Heaven', ""I'm Trying To"", 'She Wakes Me Up (Rescue Me)', 'Paying Attention', 'Daddy I Told You', 'Keys to the Kingdom']","['#cac0b8', '#f9d6ba', '#d0b296', '#a78b76', '#95725c', '#614339']","#1,509 for 2018",176,17.75,43,11,14,12
28,86,28,"Tracyanne & Danny","Tracyanne & Danny","2018-05-25","The debut full-length release for the collaboration between Camera Obscura's Tracyanne Campbell and Crybaby's Danny Coughlan was produced by Edwyn Collins.",2018,3.24,"Indie Pop, Twee Pop
Chamber Pop, Alt-Country","English","['Home & Dry', ""It Can't Be Love Unless It Hurts"", 'Deep in the Night', 'Alabama', 'Jacqueline', '2006', 'The Honeymooners', 'Anybody Else', 'Cellophane Girl', ""O'Keeffe""]","['#c8bcac', '#a46c5f', '#82817c', '#6a6760']","#1,385 for 2018",188,11.5,20,6,10,10
29,86,29,"Jericho Sirens","Hot Snakes","2018-03-16","The first new release for the San Diego post-hardcore band in 14 years was self-recorded and produced.",2018,3.29,"Garage Punk, Post-Hardcore","English","['I Need a Doctor', 'Candid Cameras', ""Why Don't It Sink In?"", 'Six Wave Hold-Down', 'Jericho Sirens', 'Death Camp Fantasy', 'Having Another?', 'Death Doula', 'Psychoactive', 'Death of a Sportsman']","['#9fa4a0', '#8e9fa6', '#484c57', '#676b6c', '#898b7e']","#713 for 2018",1006,18.3,35,13,16.5,10
30,86,30,"Remain In Light","Angélique Kidjo","2018-06-08","The Beninese singer-songwriter covers the entire Talking Heads' 1980 album Remain In Light.",2018,3.45,"Afro-Funk, Fon Music
Afrobeat, New Wave, Jazz-Funk","English","['Born Under Punches', 'Crosseyed and Painless', 'The Great Curve', 'Once in a Lifetime', 'Houses in Motion', 'Seen and Not Seen', 'Listening Wind', 'The Overload']","['#7c7f7a', '#9496a3', '#7a7b7a', '#212457', '#2f338a', '#3c3b98']","#358 for 2018",652,18.875,30,11,16,8
31,86,31,"Heaven & Earth","Kamasi Washington","2018-06-22","The second full-length release for the Los Angeles jazz saxophonist features contributions from Tony Austin, Ronald Bruner, Jr., Brandon Coleman, Cameron Graves, Terrace Martin, Miles Mosley, Patrice Quinn, and Thundercat.",2018,3.53,"Spiritual Jazz
Jazz Fusion, Soul Jazz, Post-Bop","English","['Earth', 'Fists of Fury', 'Can You Hear Him', 'Hub-Tones', 'Connections', 'Tiffakonkae', 'The Invincible Youth', 'Testify', 'One of One', 'Heaven', 'The Space Travelers Lullaby', 'Vi Lua Vi Sol', 'Street Fighter Mas', 'Song for the Fallen', 'Journey', 'The Psalmnist', 'Show Us the Way', 'Will You Sing']","['#2a477f', '#9198a2', '#5186ae', '#335592', '#4a6b94']","#163 for 2018",3263,19.5625,38,14,18,16
32,86,32,"Radyo Siwèl","Mélissa Laveaux","2018-03-23","The fourth full-length release for the Canadian-born artist was influenced by her Haitian heritage.",2018,3.39,"Indie Pop, Art Pop
Folk Pop, French Caribbean Music","","['Lè ma monte chwalmwen', 'Nan fon bwa', 'Angeli-ko', 'Kouzen', 'Simalo', 'Jolibwa', 'Tolalito', 'Twa fey', 'Legba na konsole', 'Lasirèn labalèn', 'Nibo', 'Panama mwentombe']","['#c8cbcc', '#cbcbcb', '#1175a6', '#409963', '#58454b', '#979797', '#dbbe96', '#ccaca5', '#158bbd', '#af676a']","",96,26.75,49,15,20.5,12
33,86,33,"Double Negative","Low","2018-09-14","The 12th full-length release for the indie rock trio was produced by B.J. Burton.",2018,3.6,"Ambient Pop, Glitch Pop
Drone, Post-Industrial, Slowcore, Electroacoustic, Dream Pop","English","['Quorum', 'Dancing and Blood', 'Fly', 'Tempest', 'Always Up', 'Always Trying to Work It Out', 'The Son, the Sun', 'Dancing and Fire', 'Poor Sucker', 'Rome (Always in the Dark)', 'Disarray']","['#bd9d9e', '#969495', '#b7b9b6', '#c09090']","#50 for 2018, #7,567 overall",7005,31.4545454545455,36,28,31,11
34,86,34,"To the Sunset","Amanda Shires","2018-08-03","The sixth full-length solo release for the singer-songwriter was produced by Dave Cobb.",2018,3.39,"Alt-Country, Americana
Indie Pop, Indie Rock","English","['Parking Lot Pirouette', 'Swimmer', 'Leave It Alone', 'Charms', ""Eve's Daughter"", 'Break Out the Champagne', 'Take on the Dark', 'White Feather', 'Mirror, Mirror', ""Wasn't I Paying Attention""]","['#07006c', '#07016f', '#a498bb', '#060056']","#590 for 2018",254,17.1,22,11,18,10
35,86,35,"(After) [Live]","Mount Eerie","2018-09-21","The live recording of some of Phil Elverum's songs from A Crow Looked At Me and Now Only performed in a 13th century Gothic church during 2017's Le Guess Who? festival in the Netherlands.",2018,3.92,"Singer-Songwriter, Indie Folk
Slowcore","English","['Real Death', 'Seaweed', 'Ravens', 'When I Take Out the Garbage at Night', 'Emptiness Pt. 2', 'Soria Moria', 'Crow', 'Distortion', 'Now Only', 'Crow Pt. 2', '(remarks)', 'Tintin in Tibet']","['#267da8', '#183a53', '#7a7c7a', '#7e99b7', '#4faccb']","#2,614 overall, #289 for live",726,8,11,6,8,12
36,86,36,"DAYTONA","Pusha T","2018-05-25","The third full-length studio release for the rapper features guest appearances from Rick Ross and Kanye West.",2018,3.8,"Hardcore Hip Hop, Southern Hip Hop
Gangsta Rap","English","['If You Know You Know', 'The Games We Play', 'Hard Piano', 'Come Back Baby', 'Santeria', 'What Would Meek Do?', 'Infrared']","['#6f5b52', '#a8a7a2', '#a1928d', '#aebeb3', '#9da6a1']","#7 for 2018, #784 overall",22943,53.5714285714286,61,48,53,7
37,86,37,"Phantom Thread [Original Motion Picture Soundtrack]","Jonny Greenwood","2018-02-09","The ninth soundtrack from the Radiohead guitarist is his fourth for a Paul Thomas Anderson film.",2018,3.43,"Film Score, Modern Classical
Neoclassicism","","['Mou Sukoshi Jibun No Koto, Kichinto Shitaino', 'Sougen, Kaze, Zoukibayashi', 'Can - Mary, Mary, So Contrary', 'Omata Aini Kuru Kara Ne', 'Toki No Senrei Wo Uketeinai Mono Wo Yomuna', 'Reiko', 'Can - Bring Me Coffee or Tea', 'Naoko Ga Shinda', 'IIko Dakara Damattete', 'Ate Mo Naku Aruki Mawatta', '1/4-Tone Bloom', ""Can - Don't Turn the Light On, Leave Me Alone"", 'Watashi Wo Toru Toki Wa Watashi Dake Wo Totte Ne', 'Hageshii Genchou']","['#cccccc', '#979ba4', '#9da1ac', '#5e4f56', '#85898c', '#a1897d', '#b4aca5']","#809 for soundtracks",283,31.9444444444444,48,25,30,18
38,86,38,"Some Rap Songs","Earl Sweatshirt","2018-11-30","The third full-length studio release for the Los Angeles-based rapper features guest appearances by Navy Blue and Standing On The Corner as well as vocal samples of his parents: Cheryl Harris and (the late) Keorapetse Kgositsile.",2018,3.88,"Abstract Hip Hop, Experimental Hip Hop
Jazz Rap, Glitch Hop, Drumless","English","['Shattered Dreams', 'Red Water', 'Cold Summers', 'Nowhere2go', 'December 24', 'Ontheway!', 'The Mint', 'The Bends', 'Loosie', 'Azucar', 'Eclipse', 'Veins', 'Playing Possum', 'Peanut', 'Riot!']","['#928f5a', '#5e3f22', '#d19960', '#adb38f', '#979996']","#3 for 2018, #331 overall",26153,49.9333333333333,66,42,49,15
39,86,39,"All at Once","Screaming Females","2018-02-23","The seventh full-length release for the New Jersey punk trio was produced by Matt Bayles.",2018,3.37,"Indie Rock, Garage Rock
Punk Rock","English","['Glass House', 'Black Moon', ""I'll Make You Sorry"", 'Dirt', 'Agnes Martin', 'Deeply', 'Soft Domination', 'End of My Bloodline', 'Chamber for Sleep Pt. I', 'Chamber for Sleep Pt. II', 'Bird in Space', 'Fantasy Lens', 'My Body', 'Drop by Drop', 'Step Outside']","['#a9adae', '#8a939a', '#8d8789', '#6d7276', '#a5aeb0', '#565a63', '#a3aab2']","#494 for 2018",1410,23.4,40,16,22,15
40,85,40,"Knock Knock","DJ Koze","2018-05-04","The latest release for the German electronic artist features guest appearances from Eddie Fummler, José Gonzalez, Sophia Kennedy, Mano Le Tough, Róisín Murphy, Arrested Development's Speech, and Kurt Wagner.",2018,3.42,"House, Deep House
Downtempo, Microhouse, Nu-Disco, Deep House, Neo-Psychedelia, Instrumental Hip Hop","English, German","['Club Der Ewigkeiten', 'Bonfire', 'Moving in a Liquid', 'Colors of Autumn', 'Music on My Teeth', 'This Is My Rock', 'Illumination', 'Pick Up', 'Planet Hase', 'Scratch That', 'Muddy Funster', 'Baby (How Much I LFO You)', 'Jesus', 'Lord Knows', 'Seeing Aliens', 'Drone Me Up, Flashy']","['#afaaa7', '#928a99', '#dda886', '#665e8f', '#e0bda7', '#92809a']","#365 for 2018",2466,30.25,53,22,28,16
41,85,41,"Glass","Alva Noto","2018-02-16","The latest collaboration between Ryuichi Sakamoto and Carsten Nicolai  was recorded at the Glass House in Connecticut in 2014.",2018,3.34,"Ambient, Drone
Drone, Electroacoustic, Glitch","","['Glass']","['#cbcccc', '#b5aea2', '#a9a497', '#948e80', '#bfb6a7']","#1,526 for live",586,10,10,10,10,1
42,85,42,"Iridescence","BROCKHAMPTON","2018-09-21","The fourth full-length release for the Texan rap group was recorded in  Abbey Road Studios as well as Hawaii.",2018,3.23,"Experimental Hip Hop, Hardcore Hip Hop
Alternative R&B, Industrial Hip Hop, Pop Rap, Conscious Hip Hop, Art Pop","English","['New Orleans', 'Thug Life', 'Berlin', 'Something About Him', 'Where the Cash At', 'Weight', 'District', 'Loophole', 'Tape', ""J'ouvert"", 'Honey', 'Vivid', 'San Marcos', 'Tonya', 'Fabric']","['#010569', '#01a4ab', '#ce296d', '#dc7264']","#684 for 2018",14766,46.0666666666667,54,38,46,15
43,85,43,"Ordinary Corrupt Human Love","Deafheaven","2018-07-13","The fourth full-length studio release for the San Francisco black metal band was produced by Jack Shirley",2018,3.52,"Blackgaze, Post-Metal
Post-Rock, Dream Pop","English","['You Without End', 'Honeycomb', 'Canary Yellow', 'Near', 'Glint', 'Night People', 'Worthless Animal']","['#ac9399', '#8a8b8d', '#a4a5a7', '#58595b', '#5f6062']","#126 for 2018",7777,34.7142857142857,41,28,36,7
