"id","Metacritic_Score","Rank","Album_Name","Singer","Release_Date","Description","name","popularity","acousticness","danceability","energy","instrumentalness","key","liveness","loudness","mode","speechiness","tempo","time_signature","valence"
1929,94,1,"Motomami","Rosalía","2022-03-18","The third full-length release for Spanish singer-songwriter Rosalía features guest appearances from Tokischa and The Weeknd.","MOTOMAMI",67,0.637,0.887,0.331,0.00532,2,0.0958,-7.669,1,0.465,120.022,4,0.686
1929,94,1,"Motomami","Rosalía","2022-03-18","The third full-length release for Spanish singer-songwriter Rosalía features guest appearances from Tokischa and The Weeknd.","CANDY",70,0.885,0.638,0.49,0.0116,4,0.156,-5.726,0,0.226,179.905,4,0.403
1929,94,1,"Motomami","Rosalía","2022-03-18","The third full-length release for Spanish singer-songwriter Rosalía features guest appearances from Tokischa and The Weeknd.","CUUUUuuuuuute",60,0.113,0.558,0.487,0.00058,1,0.171,-9.01,1,0.353,138.818,4,0.161
1929,94,1,"Motomami","Rosalía","2022-03-18","The third full-length release for Spanish singer-songwriter Rosalía features guest appearances from Tokischa and The Weeknd.","BIZCOCHITO",80,0.605,0.93,0.774,0.0238,1,0.12,-4.203,1,0.0744,116.972,4,0.781
1929,94,1,"Motomami","Rosalía","2022-03-18","The third full-length release for Spanish singer-songwriter Rosalía features guest appearances from Tokischa and The Weeknd.","G3 N15",60,0.965,0.499,0.0688,0.000164,0,0.114,-16.364,1,0.0524,64.987,3,0.0998
1929,94,1,"Motomami","Rosalía","2022-03-18","The third full-length release for Spanish singer-songwriter Rosalía features guest appearances from Tokischa and The Weeknd.","DIABLO",64,0.819,0.753,0.277,0.000165,0,0.0661,-8.823,1,0.351,88.019,4,0.328
1930,92,2,"Supernova","Nova Twins","2022-06-17","The second full-length release for British rock duo Nova Twins was produced with Jim Abbiss.","K.M.B.",38,0.00457,0.556,0.768,2.6e-05,1,0.33,-5.539,1,0.0506,76.505,4,0.415
1930,92,2,"Supernova","Nova Twins","2022-06-17","The second full-length release for British rock duo Nova Twins was produced with Jim Abbiss.","Choose Your Fighter",46,0.000459,0.545,0.847,0.00153,2,0.436,-5.882,1,0.108,130.051,4,0.573
1930,92,2,"Supernova","Nova Twins","2022-06-17","The second full-length release for British rock duo Nova Twins was produced with Jim Abbiss.","Toolbox",32,0.000511,0.563,0.875,2.36e-05,8,0.27,-5.17,1,0.122,129.978,4,0.377
1930,92,2,"Supernova","Nova Twins","2022-06-17","The second full-length release for British rock duo Nova Twins was produced with Jim Abbiss.","A Dark Place For Somewhere Beautiful",34,0.0022,0.515,0.905,0.00182,5,0.137,-5.047,0,0.0875,140.983,4,0.359
1930,92,2,"Supernova","Nova Twins","2022-06-17","The second full-length release for British rock duo Nova Twins was produced with Jim Abbiss.","Cleopatra",42,0.0129,0.557,0.95,1.72e-05,7,0.0585,-4.307,1,0.0729,90.011,4,0.425
1930,92,2,"Supernova","Nova Twins","2022-06-17","The second full-length release for British rock duo Nova Twins was produced with Jim Abbiss.","Sleep Paralysis",33,0.000858,0.578,0.849,0.000601,5,0.667,-7.259,0,0.107,124.81,4,0.341
1930,92,2,"Supernova","Nova Twins","2022-06-17","The second full-length release for British rock duo Nova Twins was produced with Jim Abbiss.","Antagonist",47,0.000646,0.576,0.947,3.4e-05,8,0.34,-4.473,1,0.0983,119.922,4,0.274
1930,92,2,"Supernova","Nova Twins","2022-06-17","The second full-length release for British rock duo Nova Twins was produced with Jim Abbiss.","Enemy",31,0.000818,0.529,0.888,0,1,0.152,-5.796,1,0.0792,154.981,4,0.65
1930,92,2,"Supernova","Nova Twins","2022-06-17","The second full-length release for British rock duo Nova Twins was produced with Jim Abbiss.","Fire & Ice",38,2.83e-05,0.385,0.868,0,2,0.326,-4.241,1,0.0905,138.091,4,0.532
1930,92,2,"Supernova","Nova Twins","2022-06-17","The second full-length release for British rock duo Nova Twins was produced with Jim Abbiss.","Power (Intro)",33,3.88e-05,0.316,0.945,0.165,5,0.161,-7.413,0,0.0559,109.94,4,0.161
1930,92,2,"Supernova","Nova Twins","2022-06-17","The second full-length release for British rock duo Nova Twins was produced with Jim Abbiss.","Puzzles",38,0.0211,0.578,0.948,0.00058,0,0.0745,-5.304,1,0.136,88.561,4,0.393
1931,92,3,"Ants From Up There","Black Country, New Road","2022-02-04","The second full-length release for the British post-rock band Black Country, New Road is its last with frontman and co-founder Isaac Wood, who announced he was leaving the band in January 2022.","Mark’s Theme",49,0.926,0.143,0.0722,0.787,7,0.111,-20.454,1,0.0405,69.929,4,0.105
1931,92,3,"Ants From Up There","Black Country, New Road","2022-02-04","The second full-length release for the British post-rock band Black Country, New Road is its last with frontman and co-founder Isaac Wood, who announced he was leaving the band in January 2022.","Good Will Hunting",55,0.219,0.587,0.358,0.00201,2,0.192,-9.194,1,0.0276,96.685,3,0.368
1931,92,3,"Ants From Up There","Black Country, New Road","2022-02-04","The second full-length release for the British post-rock band Black Country, New Road is its last with frontman and co-founder Isaac Wood, who announced he was leaving the band in January 2022.","Bread Song",52,0.263,0.347,0.273,0.126,4,0.0943,-13.935,1,0.0315,130.233,3,0.0709
1931,92,3,"Ants From Up There","Black Country, New Road","2022-02-04","The second full-length release for the British post-rock band Black Country, New Road is its last with frontman and co-founder Isaac Wood, who announced he was leaving the band in January 2022.","Chaos Space Marine",56,0.2,0.355,0.549,0.00165,9,0.26,-8.937,1,0.0378,161.368,4,0.439
1931,92,3,"Ants From Up There","Black Country, New Road","2022-02-04","The second full-length release for the British post-rock band Black Country, New Road is its last with frontman and co-founder Isaac Wood, who announced he was leaving the band in January 2022.","Concorde",57,0.023,0.565,0.284,0.098,9,0.113,-11.881,1,0.0286,131.309,3,0.314
1931,92,3,"Ants From Up There","Black Country, New Road","2022-02-04","The second full-length release for the British post-rock band Black Country, New Road is its last with frontman and co-founder Isaac Wood, who announced he was leaving the band in January 2022.","Snow Globes",49,0.287,0.431,0.414,0.095,2,0.109,-10.311,1,0.0296,113.87,4,0.0436
1931,92,3,"Ants From Up There","Black Country, New Road","2022-02-04","The second full-length release for the British post-rock band Black Country, New Road is its last with frontman and co-founder Isaac Wood, who announced he was leaving the band in January 2022.","Haldern",51,0.627,0.368,0.318,0.188,4,0.0804,-11.182,1,0.0358,81.116,4,0.122
1931,92,3,"Ants From Up There","Black Country, New Road","2022-02-04","The second full-length release for the British post-rock band Black Country, New Road is its last with frontman and co-founder Isaac Wood, who announced he was leaving the band in January 2022.","Basketball Shoes",52,0.0203,0.283,0.451,0.00318,7,0.0463,-8.585,1,0.0452,91.116,3,0.0683
1931,92,3,"Ants From Up There","Black Country, New Road","2022-02-04","The second full-length release for the British post-rock band Black Country, New Road is its last with frontman and co-founder Isaac Wood, who announced he was leaving the band in January 2022.","The Place Where He Inserted the Blade",59,0.402,0.376,0.451,4.13e-05,11,0.128,-8.276,1,0.0327,123.344,3,0.164
1931,92,3,"Ants From Up There","Black Country, New Road","2022-02-04","The second full-length release for the British post-rock band Black Country, New Road is its last with frontman and co-founder Isaac Wood, who announced he was leaving the band in January 2022.","Intro",54,0.0336,0.489,0.524,0.785,7,0.255,-9.497,1,0.0463,70.832,4,0.809
1932,91,4,"S.O.S.","SZA","2022-12-09","The second full-length studio release for R&B artist SZA features guest appearances from Phoebe Bridgers, Ol' Dirty Bastard, Travis Scott, and Don Toliver.","Yes We Can, Can",12,0.0759,0.559,0.633,0.000262,0,0.0967,-6.502,1,0.186,171.32,4,0.895
1932,91,4,"S.O.S.","SZA","2022-12-09","The second full-length studio release for R&B artist SZA features guest appearances from Phoebe Bridgers, Ol' Dirty Bastard, Travis Scott, and Don Toliver.","If I Could Build My Whole World Around You",28,0.126,0.629,0.673,0,1,0.102,-6.217,1,0.0441,126.811,4,0.707
1932,91,4,"S.O.S.","SZA","2022-12-09","The second full-length studio release for R&B artist SZA features guest appearances from Phoebe Bridgers, Ol' Dirty Bastard, Travis Scott, and Don Toliver.","Respect Yourself",16,0.141,0.749,0.599,0,6,0.0836,-5.958,0,0.0353,113.419,4,0.509
1932,91,4,"S.O.S.","SZA","2022-12-09","The second full-length studio release for R&B artist SZA features guest appearances from Phoebe Bridgers, Ol' Dirty Bastard, Travis Scott, and Don Toliver.","I've Been Loving You Too Long",35,0.262,0.606,0.395,0.00154,9,0.0863,-7.979,1,0.0269,144.697,3,0.152
1932,91,4,"S.O.S.","SZA","2022-12-09","The second full-length studio release for R&B artist SZA features guest appearances from Phoebe Bridgers, Ol' Dirty Bastard, Travis Scott, and Don Toliver.","Let The Music Get Down In Your Soul",23,0.19,0.725,0.784,0.00043,11,0.068,-6.83,1,0.037,119.648,4,0.735
1932,91,4,"S.O.S.","SZA","2022-12-09","The second full-length studio release for R&B artist SZA features guest appearances from Phoebe Bridgers, Ol' Dirty Bastard, Travis Scott, and Don Toliver.","You Met Your Match",16,0.277,0.809,0.889,0,5,0.115,-5.086,1,0.0321,109.911,4,0.949
1932,91,4,"S.O.S.","SZA","2022-12-09","The second full-length studio release for R&B artist SZA features guest appearances from Phoebe Bridgers, Ol' Dirty Bastard, Travis Scott, and Don Toliver.","Come In From The Cold",40,0.331,0.643,0.576,8.69e-06,7,0.0654,-8.567,1,0.0355,173.55,4,0.484
1932,91,4,"S.O.S.","SZA","2022-12-09","The second full-length studio release for R&B artist SZA features guest appearances from Phoebe Bridgers, Ol' Dirty Bastard, Travis Scott, and Don Toliver.","I Love You More Than You'll Ever Know",22,0.502,0.415,0.388,0.000149,5,0.313,-8.182,0,0.0542,90.625,3,0.118
1932,91,4,"S.O.S.","SZA","2022-12-09","The second full-length studio release for R&B artist SZA features guest appearances from Phoebe Bridgers, Ol' Dirty Bastard, Travis Scott, and Don Toliver.","Inner City Blues (Make Me Wanna Holler)",16,0.684,0.651,0.448,0.105,1,0.113,-10.574,1,0.0305,88.906,4,0.511
1932,91,4,"S.O.S.","SZA","2022-12-09","The second full-length studio release for R&B artist SZA features guest appearances from Phoebe Bridgers, Ol' Dirty Bastard, Travis Scott, and Don Toliver.","Love And Happiness",52,0.0269,0.884,0.469,0.00111,1,0.073,-9.852,0,0.0372,94.345,4,0.897
1932,91,4,"S.O.S.","SZA","2022-12-09","The second full-length studio release for R&B artist SZA features guest appearances from Phoebe Bridgers, Ol' Dirty Bastard, Travis Scott, and Don Toliver.","Harry Hippie",27,0.346,0.631,0.459,0.000461,1,0.0736,-7.575,0,0.0269,71.674,4,0.475
1933,91,5,"Renaissance","Beyoncé","2022-07-29","The first new studio album for Beyoncé since 2016's Lemonade features contributions from 070 Shake, A.G. Cook, Mike Dean, Drake, Jay-Z, Labrinth, Skrillex, Tems, The-Dream, and The Neptunes.","VIRGO'S GROOVE",73,0.0781,0.683,0.85,1.09e-06,11,0.741,-5.042,0,0.0699,107.988,4,0.598
1933,91,5,"Renaissance","Beyoncé","2022-07-29","The first new studio album for Beyoncé since 2016's Lemonade features contributions from 070 Shake, A.G. Cook, Mike Dean, Drake, Jay-Z, Labrinth, Skrillex, Tems, The-Dream, and The Neptunes.","COZY",74,0.000828,0.556,0.63,0.00468,7,0.155,-8.15,1,0.102,149.147,5,0.367
1933,91,5,"Renaissance","Beyoncé","2022-07-29","The first new studio album for Beyoncé since 2016's Lemonade features contributions from 070 Shake, A.G. Cook, Mike Dean, Drake, Jay-Z, Labrinth, Skrillex, Tems, The-Dream, and The Neptunes.","ALIEN SUPERSTAR",80,0.00453,0.545,0.641,6.59e-05,10,0.171,-6.398,0,0.0998,121.892,4,0.464
1933,91,5,"Renaissance","Beyoncé","2022-07-29","The first new studio album for Beyoncé since 2016's Lemonade features contributions from 070 Shake, A.G. Cook, Mike Dean, Drake, Jay-Z, Labrinth, Skrillex, Tems, The-Dream, and The Neptunes.","ENERGY (feat. Beam)",77,0.281,0.903,0.519,0.000106,1,0.155,-9.151,1,0.26,114.991,4,0.587
1933,91,5,"Renaissance","Beyoncé","2022-07-29","The first new studio album for Beyoncé since 2016's Lemonade features contributions from 070 Shake, A.G. Cook, Mike Dean, Drake, Jay-Z, Labrinth, Skrillex, Tems, The-Dream, and The Neptunes.","BREAK MY SOUL",79,0.0581,0.693,0.887,2.71e-06,1,0.27,-5.039,0,0.0795,114.942,4,0.864
1933,91,5,"Renaissance","Beyoncé","2022-07-29","The first new studio album for Beyoncé since 2016's Lemonade features contributions from 070 Shake, A.G. Cook, Mike Dean, Drake, Jay-Z, Labrinth, Skrillex, Tems, The-Dream, and The Neptunes.","MOVE (feat. Grace Jones & Tems)",70,0.0165,0.876,0.628,0.0339,1,0.0938,-6.595,1,0.0935,118.028,4,0.809
1933,91,5,"Renaissance","Beyoncé","2022-07-29","The first new studio album for Beyoncé since 2016's Lemonade features contributions from 070 Shake, A.G. Cook, Mike Dean, Drake, Jay-Z, Labrinth, Skrillex, Tems, The-Dream, and The Neptunes.","PLASTIC OFF THE SOFA",72,0.14,0.618,0.712,4.53e-06,1,0.575,-8.246,1,0.114,97.057,4,0.305
1933,91,5,"Renaissance","Beyoncé","2022-07-29","The first new studio album for Beyoncé since 2016's Lemonade features contributions from 070 Shake, A.G. Cook, Mike Dean, Drake, Jay-Z, Labrinth, Skrillex, Tems, The-Dream, and The Neptunes.","THIQUE",71,0.0616,0.823,0.536,0.0143,5,0.326,-10.123,0,0.319,128.955,4,0.537
1933,91,5,"Renaissance","Beyoncé","2022-07-29","The first new studio album for Beyoncé since 2016's Lemonade features contributions from 070 Shake, A.G. Cook, Mike Dean, Drake, Jay-Z, Labrinth, Skrillex, Tems, The-Dream, and The Neptunes.","PURE/HONEY",73,0.0122,0.857,0.558,4.8e-05,1,0.288,-7.888,1,0.134,123.973,4,0.453
1933,91,5,"Renaissance","Beyoncé","2022-07-29","The first new studio album for Beyoncé since 2016's Lemonade features contributions from 070 Shake, A.G. Cook, Mike Dean, Drake, Jay-Z, Labrinth, Skrillex, Tems, The-Dream, and The Neptunes.","I'M THAT GIRL",74,0.0616,0.554,0.535,1.32e-05,5,0.124,-8.959,0,0.186,105.865,4,0.136
1933,91,5,"Renaissance","Beyoncé","2022-07-29","The first new studio album for Beyoncé since 2016's Lemonade features contributions from 070 Shake, A.G. Cook, Mike Dean, Drake, Jay-Z, Labrinth, Skrillex, Tems, The-Dream, and The Neptunes.","HEATED",74,0.0636,0.785,0.732,0.000807,1,0.265,-5.724,1,0.164,110.952,4,0.496
1933,91,5,"Renaissance","Beyoncé","2022-07-29","The first new studio album for Beyoncé since 2016's Lemonade features contributions from 070 Shake, A.G. Cook, Mike Dean, Drake, Jay-Z, Labrinth, Skrillex, Tems, The-Dream, and The Neptunes.","SUMMER RENAISSANCE",74,0.0843,0.674,0.625,0.0015,1,0.11,-9.593,1,0.0514,120.004,4,0.208
1933,91,5,"Renaissance","Beyoncé","2022-07-29","The first new studio album for Beyoncé since 2016's Lemonade features contributions from 070 Shake, A.G. Cook, Mike Dean, Drake, Jay-Z, Labrinth, Skrillex, Tems, The-Dream, and The Neptunes.","CUFF IT",93,0.0368,0.78,0.689,9.69e-06,7,0.0698,-5.668,1,0.141,115.042,4,0.642
1933,91,5,"Renaissance","Beyoncé","2022-07-29","The first new studio album for Beyoncé since 2016's Lemonade features contributions from 070 Shake, A.G. Cook, Mike Dean, Drake, Jay-Z, Labrinth, Skrillex, Tems, The-Dream, and The Neptunes.","CHURCH GIRL",72,0.0381,0.792,0.919,5.1e-06,2,0.368,-5.688,1,0.276,92.028,4,0.22
1933,91,5,"Renaissance","Beyoncé","2022-07-29","The first new studio album for Beyoncé since 2016's Lemonade features contributions from 070 Shake, A.G. Cook, Mike Dean, Drake, Jay-Z, Labrinth, Skrillex, Tems, The-Dream, and The Neptunes.","AMERICA HAS A PROBLEM",70,0.00348,0.789,0.614,0.00152,1,0.283,-6.491,1,0.0579,126.035,4,0.108
1933,91,5,"Renaissance","Beyoncé","2022-07-29","The first new studio album for Beyoncé since 2016's Lemonade features contributions from 070 Shake, A.G. Cook, Mike Dean, Drake, Jay-Z, Labrinth, Skrillex, Tems, The-Dream, and The Neptunes.","ALL UP IN YOUR MIND",68,0.0672,0.744,0.577,3.06e-06,9,0.178,-7.228,1,0.0631,135.869,4,0.0805
1934,89,6,"I Love You Jennifer B","Jockstrap","2022-09-09","The debut full-length release for London-based duo Jockstrap was created over three years.","Neon",48,0.36,0.298,0.428,0.2,1,0.0919,-8.094,1,0.0438,111.488,4,0.0396
1934,89,6,"I Love You Jennifer B","Jockstrap","2022-09-09","The debut full-length release for London-based duo Jockstrap was created over three years.","Greatest Hits",51,0.0834,0.696,0.786,0.419,1,0.0446,-7.593,1,0.0467,96.001,4,0.76
1934,89,6,"I Love You Jennifer B","Jockstrap","2022-09-09","The debut full-length release for London-based duo Jockstrap was created over three years.","Lancaster Court",40,0.95,0.523,0.339,0.326,0,0.174,-12.187,1,0.0377,82.821,4,0.129
1934,89,6,"I Love You Jennifer B","Jockstrap","2022-09-09","The debut full-length release for London-based duo Jockstrap was created over three years.","Angst",43,0.961,0.47,0.158,3.22e-05,0,0.0705,-14.105,0,0.12,85.427,4,0.11
1934,89,6,"I Love You Jennifer B","Jockstrap","2022-09-09","The debut full-length release for London-based duo Jockstrap was created over three years.","Glasgow",46,0.568,0.672,0.602,0.000709,0,0.0622,-7.518,1,0.0308,109.993,4,0.284
1934,89,6,"I Love You Jennifer B","Jockstrap","2022-09-09","The debut full-length release for London-based duo Jockstrap was created over three years.","Debra",44,0.0209,0.635,0.653,0.088,10,0.0937,-8.825,1,0.0346,150.031,4,0.215
1934,89,6,"I Love You Jennifer B","Jockstrap","2022-09-09","The debut full-length release for London-based duo Jockstrap was created over three years.","Concrete Over Water",50,0.748,0.318,0.375,0.00132,1,0.42,-7.357,0,0.036,140.211,4,0.0455
1934,89,6,"I Love You Jennifer B","Jockstrap","2022-09-09","The debut full-length release for London-based duo Jockstrap was created over three years.","What’s It All About?",46,0.576,0.293,0.298,7.2e-05,0,0.11,-11.276,0,0.0297,95.993,4,0.191
1934,89,6,"I Love You Jennifer B","Jockstrap","2022-09-09","The debut full-length release for London-based duo Jockstrap was created over three years.","50/50 - Extended Mix",43,0.00409,0.72,0.78,0.75,6,0.321,-8.516,0,0.0651,130,4,0.198
1934,89,6,"I Love You Jennifer B","Jockstrap","2022-09-09","The debut full-length release for London-based duo Jockstrap was created over three years.","Jennifer B",47,0.653,0.774,0.534,0.423,11,0.123,-9.441,1,0.0743,119.974,4,0.572
1935,89,7,"Florist","Florist","2022-07-29","The fourth full-length release for indie folk band Florist was created while staying in a rented Hudson Valley house in June 2019.","June 9th Nighttime",41,0.862,0.168,0.193,0.0218,4,0.143,-19.63,1,0.0835,70.755,4,0.149
1935,89,7,"Florist","Florist","2022-07-29","The fourth full-length release for indie folk band Florist was created while staying in a rented Hudson Valley house in June 2019.","Jonnie on the Porch",31,0.995,0.304,0.0465,0.85,5,0.0756,-24.089,1,0.0454,80.975,1,0.0916
1935,89,7,"Florist","Florist","2022-07-29","The fourth full-length release for indie folk band Florist was created while staying in a rented Hudson Valley house in June 2019.","Duet for 2 Eyes",34,0.989,0.407,0.139,0.875,9,0.184,-21.647,1,0.0419,133.676,4,0.0379
1935,89,7,"Florist","Florist","2022-07-29","The fourth full-length release for indie folk band Florist was created while staying in a rented Hudson Valley house in June 2019.","Two Ways",42,0.962,0.556,0.28,0.0249,10,0.101,-17.118,1,0.0363,86.124,4,0.306
1935,89,7,"Florist","Florist","2022-07-29","The fourth full-length release for indie folk band Florist was created while staying in a rented Hudson Valley house in June 2019.","Organ's Drone",37,0.911,0.447,0.144,0.000975,11,0.137,-17.981,1,0.0427,128.261,4,0.147
1935,89,7,"Florist","Florist","2022-07-29","The fourth full-length release for indie folk band Florist was created while staying in a rented Hudson Valley house in June 2019.","Feathers",33,0.851,0.428,0.294,0.00853,10,0.367,-14.382,1,0.0467,118.273,4,0.461
1935,89,7,"Florist","Florist","2022-07-29","The fourth full-length release for indie folk band Florist was created while staying in a rented Hudson Valley house in June 2019.","Variation",35,0.996,0.319,0.0254,0.0262,0,0.109,-23.477,1,0.0517,70.89,4,0.255
1935,89,7,"Florist","Florist","2022-07-29","The fourth full-length release for indie folk band Florist was created while staying in a rented Hudson Valley house in June 2019.","43",36,0.486,0.33,0.334,0.283,11,0.105,-13.815,1,0.0306,144.837,4,0.365
1935,89,7,"Florist","Florist","2022-07-29","The fourth full-length release for indie folk band Florist was created while staying in a rented Hudson Valley house in June 2019.","Duet for Guitar and Rain",37,0.917,0.145,0.115,0.951,11,0.47,-24.015,1,0.0343,78.201,4,0.0652
1935,89,7,"Florist","Florist","2022-07-29","The fourth full-length release for indie folk band Florist was created while staying in a rented Hudson Valley house in June 2019.","River's Bed",34,0.887,0.466,0.254,0.0239,2,0.223,-16.216,0,0.0336,119.159,4,0.253
1935,89,7,"Florist","Florist","2022-07-29","The fourth full-length release for indie folk band Florist was created while staying in a rented Hudson Valley house in June 2019.","Spring in Hours",39,0.885,0.618,0.334,0.0497,10,0.0646,-15.049,1,0.0354,129.794,3,0.372
1935,89,7,"Florist","Florist","2022-07-29","The fourth full-length release for indie folk band Florist was created while staying in a rented Hudson Valley house in June 2019.","Bells Pt. 2",33,0.852,0.421,0.321,0.899,6,0.0554,-17.856,1,0.0418,121.065,1,0.0792
1935,89,7,"Florist","Florist","2022-07-29","The fourth full-length release for indie folk band Florist was created while staying in a rented Hudson Valley house in June 2019.","Bells Pt. 3",30,0.842,0.328,0.502,0.156,1,0.0502,-16.217,1,0.0546,66.031,4,0.174
1935,89,7,"Florist","Florist","2022-07-29","The fourth full-length release for indie folk band Florist was created while staying in a rented Hudson Valley house in June 2019.","Red Bird Pt. 2 (Morning)",48,0.94,0.432,0.138,0.0243,1,0.129,-19.788,1,0.049,81.765,4,0.103
1935,89,7,"Florist","Florist","2022-07-29","The fourth full-length release for indie folk band Florist was created while staying in a rented Hudson Valley house in June 2019.","Reprise",1,0.973,0.133,0.0775,0.807,3,0.149,-17.697,1,0.042,69.514,3,0.049
1935,89,7,"Florist","Florist","2022-07-29","The fourth full-length release for indie folk band Florist was created while staying in a rented Hudson Valley house in June 2019.","Finally",31,0.98,0.172,0.218,0.966,10,0.128,-20.103,1,0.0482,76.233,4,0.0731
1935,89,7,"Florist","Florist","2022-07-29","The fourth full-length release for indie folk band Florist was created while staying in a rented Hudson Valley house in June 2019.","Bells Pt. 1",35,0.993,0.339,0.0211,0.692,10,0.223,-20.679,0,0.0433,124.545,5,0.234
1935,89,7,"Florist","Florist","2022-07-29","The fourth full-length release for indie folk band Florist was created while staying in a rented Hudson Valley house in June 2019.","Sci-fi Silence",38,0.869,0.422,0.263,0.617,11,0.0643,-18.429,1,0.041,126.319,4,0.0459
1935,89,7,"Florist","Florist","2022-07-29","The fourth full-length release for indie folk band Florist was created while staying in a rented Hudson Valley house in June 2019.","Dandelion",33,0.917,0.418,0.153,0.113,11,0.0858,-18.889,1,0.0393,79.034,4,0.0986
1936,89,8,"Heart Under","Just Mustard","2022-05-27","The second full-length release for the Irish rock quintet Just Mustard was self-produced and mixed by Audiobooks' David Wrench.","Mirrors",25,0.122,0.305,0.625,0.712,11,0.0996,-9.632,1,0.0731,154.997,4,0.0785
1936,89,8,"Heart Under","Just Mustard","2022-05-27","The second full-length release for the Irish rock quintet Just Mustard was self-produced and mixed by Audiobooks' David Wrench.","Early",23,0.238,0.409,0.54,0.877,8,0.131,-8.022,0,0.0397,155.101,4,0.305
1936,89,8,"Heart Under","Just Mustard","2022-05-27","The second full-length release for the Irish rock quintet Just Mustard was self-produced and mixed by Audiobooks' David Wrench.","Sore",21,0.0644,0.332,0.413,0.913,2,0.121,-8.768,1,0.0347,153.005,4,0.225
1936,89,8,"Heart Under","Just Mustard","2022-05-27","The second full-length release for the Irish rock quintet Just Mustard was self-produced and mixed by Audiobooks' David Wrench.","Rivers",20,0.275,0.246,0.389,0.822,6,0.383,-11.309,0,0.0347,96.167,4,0.037
1936,89,8,"Heart Under","Just Mustard","2022-05-27","The second full-length release for the Irish rock quintet Just Mustard was self-produced and mixed by Audiobooks' David Wrench.","Blue Chalk",23,0.306,0.259,0.7,0.917,6,0.111,-12.485,1,0.0899,124.757,4,0.0313
1936,89,8,"Heart Under","Just Mustard","2022-05-27","The second full-length release for the Irish rock quintet Just Mustard was self-produced and mixed by Audiobooks' David Wrench.","Still",32,0.0772,0.537,0.69,0.639,5,0.661,-7.18,1,0.0782,124.933,4,0.348
1936,89,8,"Heart Under","Just Mustard","2022-05-27","The second full-length release for the Irish rock quintet Just Mustard was self-produced and mixed by Audiobooks' David Wrench.","In Shade",23,0.00233,0.54,0.765,0.938,5,0.0764,-8.038,1,0.0334,102,4,0.115
1936,89,8,"Heart Under","Just Mustard","2022-05-27","The second full-length release for the Irish rock quintet Just Mustard was self-produced and mixed by Audiobooks' David Wrench.","Seed",26,0.109,0.412,0.685,0.889,4,0.553,-8.739,1,0.085,91.073,4,0.0388
1936,89,8,"Heart Under","Just Mustard","2022-05-27","The second full-length release for the Irish rock quintet Just Mustard was self-produced and mixed by Audiobooks' David Wrench.","23",30,0.00044,0.302,0.46,0.887,1,0.122,-11.538,0,0.0337,76.994,3,0.0325
