"Metacritic_Score","Rank","Album_Name","Singer","Release_Date","Desciption","User_Score","Release_Year","id"
87,19,"Be the Cowboy","Mitski",2018-08-17,"The fifth full-length release for the New York City indie rock artist was recorded with producer Patrick Hyland.",8.6,2018,"mitski2018betboy"
87,20,"Soil","serpentwithfeet",2018-06-08,"The debut full-length release for the New York-based alternative R&B artist features production from Clams Casino, Paul Epworth, and Katie Gately.",7.3,2018,"serpentwithfeet2018soioil"
87,21,"In a Poem Unlimited","U.S. Girls",2018-02-16,"The sixth full-length release for Meg Remy as U.S. Girls was recorded with a live band and was co-produced with Steve Chahley.",8.3,2018,"usgirls2018inated"
87,22,"Cocoa Sugar","Young Fathers",2018-03-09,"The third full-length release for the Edinburgh-based trio was recorded in the band's studio.",8.7,2018,"youngfathers2018cocgar"
87,23,"Freedom","Amen Dunes",2018-03-30,"The fifth full-length release for Damon McMahon features contributions from Delicate Steve, Parker Kindred, Gus Seyffert , Jordi Wheeler,  Nick Zinner and was produced by Chris Coady.",8.2,2018,"amendunes2018fredom"
87,24,"Isolation","Kali Uchis",2018-04-06,"The debut full-length studio release for the Virginia artist features guest appearances from BIA, Bootsy Collins, Steve Lacy, Reykon, Jorja Smith and Tyler, The Creator as well as production from BadBadNotGood, Gorillaz, Greg Kurstin, Kevin Parker, Dave Sitek, and Thundercat.",8.7,2018,"kaliuchis2018isoion"
87,25,"Springsteen on Broadway","Bruce Springsteen",2018-12-14,"The two-CD set features the complete audio of Springsteen's one-man Broadway show at Walter Kerr Theatre recorded on July 17 and 18, 2018 for Netflix.",7.9,2018,"brucespringsteen2018sprway"
86,26,"Oil Of Every Pearl's Un-Insides","SOPHIE",2018-06-15,"The debut full-length solo release for the Los Angeles-based Scottish electronic pop artist features songs co-written with Calia Thompson-Hannant (aka Cecile Believe).",8.4,2018,"sophie2018oildes"
86,27,"Sparrow","Ashley Monroe",2018-04-20,"The fourth full-length release for the country singer-songwriter was produced with Dave Cobb.",6.6,2018,"ashleymonroe2018sparow"
86,28,"Tracyanne & Danny","Tracyanne & Danny",2018-05-25,"The debut full-length release for the collaboration between Camera Obscura's Tracyanne Campbell and Crybaby's Danny Coughlan was produced by Edwyn Collins.",7.3,2018,"tracyannedanny2018tranny"
86,29,"Jericho Sirens","Hot Snakes",2018-03-16,"The first new release for the San Diego post-hardcore band in 14 years was self-recorded and produced.",7.9,2018,"hotsnakes2018jerens"
86,30,"Remain In Light","Angélique Kidjo",2018-06-08,"The Beninese singer-songwriter covers the entire Talking Heads' 1980 album Remain In Light.",8.2,2018,"angéliquekidjo2018remght"
86,31,"Heaven & Earth","Kamasi Washington",2018-06-22,"The second full-length release for the Los Angeles jazz saxophonist features contributions from Tony Austin, Ronald Bruner, Jr., Brandon Coleman, Cameron Graves, Terrace Martin, Miles Mosley, Patrice Quinn, and Thundercat.",8,2018,"kamasiwashington2018hearth"
86,32,"Radyo Siwèl","Mélissa Laveaux",2018-03-23,"The fourth full-length release for the Canadian-born artist was influenced by her Haitian heritage.",NA,2018,"mélissalaveaux2018radwèl"
86,33,"Double Negative","Low",2018-09-14,"The 12th full-length release for the indie rock trio was produced by B.J. Burton.",8,2018,"low2018douive"
86,34,"To the Sunset","Amanda Shires",2018-08-03,"The sixth full-length solo release for the singer-songwriter was produced by Dave Cobb.",7.4,2018,"amandashires2018totset"
86,35,"(After) [Live]","Mount Eerie",2018-09-21,"The live recording of some of Phil Elverum's songs from A Crow Looked At Me and Now Only performed in a 13th century Gothic church during 2017's Le Guess Who? festival in the Netherlands.",NA,2018,"mounteerie2018aftive"
86,36,"DAYTONA","Pusha T",2018-05-25,"The third full-length studio release for the rapper features guest appearances from Rick Ross and Kanye West.",8.5,2018,"pushat2018dayona"
86,37,"Phantom Thread [Original Motion Picture Soundtrack]","Jonny Greenwood",2018-02-09,"The ninth soundtrack from the Radiohead guitarist is his fourth for a Paul Thomas Anderson film.",8.2,2018,"jonnygreenwood2018phaack"
86,38,"Some Rap Songs","Earl Sweatshirt",2018-11-30,"The third full-length studio release for the Los Angeles-based rapper features guest appearances by Navy Blue and Standing On The Corner as well as vocal samples of his parents: Cheryl Harris and (the late) Keorapetse Kgositsile.",8.4,2018,"earlsweatshirt2018somngs"
86,39,"All at Once","Screaming Females",2018-02-23,"The seventh full-length release for the New Jersey punk trio was produced by Matt Bayles.",7.8,2018,"screamingfemales2018allnce"
85,40,"Knock Knock","DJ Koze",2018-05-04,"The latest release for the German electronic artist features guest appearances from Eddie Fummler, José Gonzalez, Sophia Kennedy, Mano Le Tough, Róisín Murphy, Arrested Development's Speech, and Kurt Wagner.",8,2018,"djkoze2018knoock"
85,41,"Glass","Alva Noto",2018-02-16,"The latest collaboration between Ryuichi Sakamoto and Carsten Nicolai  was recorded at the Glass House in Connecticut in 2014.",7.6,2018,"alvanoto2018glaass"
85,42,"Iridescence","BROCKHAMPTON",2018-09-21,"The fourth full-length release for the Texan rap group was recorded in  Abbey Road Studios as well as Hawaii.",7.9,2018,"brockhampton2018irince"
85,43,"Ordinary Corrupt Human Love","Deafheaven",2018-07-13,"The fourth full-length studio release for the San Francisco black metal band was produced by Jack Shirley",8.1,2018,"deafheaven2018ordove"
85,44,"Working Class Woman","Marie Davidson",2018-10-05,"The fourth full-length release for the Canadian electronic producer features influences from Italo Disco and proto-industrial music.",7.8,2018,"mariedavidson2018worman"
85,45,"Transangelic Exodus","Ezra Furman",2018-02-09,"The seventh full-length release for the singer-songwriter was produced by Tim Sandusky.",8,2018,"ezrafurman2018tradus"
85,46,"Things Have Changed","Bettye LaVette",2018-03-30,"The soul singer's reinterpretations of Bob Dylan songs was produced by Steve Jordan and feature guest appearances from Keith Richards and Trombone Shorty.",7.3,2018,"bettyelavette2018thiged"
85,47,"I'm All Ears","Let's Eat Grandma",2018-06-29,"The second full-length release for the British duo of Jenny Hollingworth and Rosa Walton features production from Faris Badwan, SOPHIE, and David Wrench.",8.1,2018,"letseatgrandma2018imaars"
85,48,"Hell-On","Neko Case",2018-06-01,"The latest full-length solo release for the singer-songwriter features contributions from Eric Bachmann, Joey Burns, Beth Ditto, Doug Gillard, Kelly Hogan, Mark Lanegan, k.d. Lang, AC Newman, and Laura Veirs, was self-produced with co-production on six tracks with Bjorn Yttling of Peter Bjorn & John.",7.8,2018,"nekocase2018hellon"
85,49,"Interstate Gospel","Pistol Annies",2018-11-02,"The third full-length release for the country trio of Miranda Lambert, Ashley Monroe and Angaleena Presley was produced by Frank Liddell.",8.3,2018,"pistolannies2018intpel"
85,50,"Gave in Rest","Sarah Davachi",2018-09-14,"The second release in 2018 for the Canadian artist was inspired by her European tour and features contributions from Thierry Amar, Terri Hron, Lisa McGee, and Jessica Moss.",NA,2018,"sarahdavachi2018gavest"
85,51,"Landfall","Laurie Anderson",2018-02-16,"Hurricane Sandy is the subject of the debut collaboration album from Laurie Anderson and the Kronos Quartet.",6.9,2018,"laurieanderson2018lanall"
85,52,"Ecstatic Arrow","Virginia Wing",2018-06-08,"The third full-length release for the British duo of Alice Richards and Samuel Pillay was recorded in Switzerland.",7.8,2018,"virginiawing2018ecsrow"
85,53,"Astroworld","Travis Scott",2018-08-03,"The third solo release for the rapper features guest appearances and contributions from such artist as 21 Savage, James Blake, Drake, John Mayer, Frank Ocean, Pharrell, Quavo, Swae Lee, Tame Imapala, Sevn Thomas, Thundercat, and The Weeknd.",8.2,2018,"travisscott2018astrld"
85,54,"Bloom","Troye Sivan",2018-08-31,"The second full-length release for the Australian pop singer-songwriter features guest appearances from Ariana Grande and Gordi.",8.2,2018,"troyesivan2018blooom"
84,55,"And Nothing Hurt","Spiritualized",2018-09-07,"The eighth full-length release is the first in six years for Jason Pierce may be his last as Spiritualized.",7.8,2018,"spiritualized2018andurt"
84,56,"Warm","Jeff Tweedy",2018-11-30,"The second full-length solo release for the Wilco frontman was self-produced and recorded.",8,2018,"jefftweedy2018wararm"
84,57,"Snares Like a Haircut","No Age",2018-01-26,"The fourth full-length release for the duo of Randy Randall and Dean Allen Spunt is its first on the Drag City label.",7.9,2018,"noage2018snacut"
84,58,"The Hex","Richard Swift",2018-09-21,"The posthumous release for the singer-songwriter/producer was recorded over several years before it was completed a month before his death in July.",6.8,2018,"richardswift2018thehex"
84,59,"Kids See Ghosts","Kids See Ghosts",2018-06-08,"The debut surprise studio release for the collaboration between Kanye West and Kid Cudi features contributions from André 3000, Mos Def, Ty Dolla $ign as well as samples from Kurt Cobain's ""Burn the Rain"" and Louis Prima's ""What Would Santa Claus Do?"".",8.7,2018,"kidsseeghosts2018kidsts"
84,60,"MITH","Lonnie Holley",2018-09-21,"The third full-length release for the Alabama-born sculptor-turned-singer features contributions from Sam Gendel, Laraaji, Nelson Patton, and Richard Swift.",NA,2018,"lonnieholley2018mitith"
84,61,"Last Man Standing","Willie Nelson",2018-04-27,"The latest full-length studio release for the legendary country singer-songwriter features 11 new songs co-written with producer Buddy Cannon.",7.7,2018,"willienelson2018lasing"
84,62,"Body","The Necks",2018-08-17,"The 20th full-length release for the Australian trio of Chris Abrahams, Lloyd Swanton, and Tony Buck consists of a single nearly 57-minute-long piece.",NA,2018,"thenecks2018bodody"
84,63,"Ephorize","CupcakKe",2018-01-05,"The third full-length release for the Chicago rapper was produced by Def Starz and Turreekk.",8.6,2018,"cupcakke2018ephize"
84,64,"Hope Downs","Rolling Blackouts Coastal Fever",2018-06-15,"The debut full-length release for the Australian indie rock quintet was co-produced with Liam Judson and recorded live in a house in the Australian bush.",8,2018,"rollingblackoutscoastalfever2018hopwns"
84,65,"Insula","Proc Fiskal",2018-06-08,"The debut full-length release for the Edinburgh grime producer features everyday sounds like conversations, police sirens, dial tones as well as influences from Japanese video game music.",NA,2018,"procfiskal2018insula"
84,66,"Invasion of Privacy","Cardi B",2018-04-06,"The debut full-length studio release for the New York rap artist features guest appearances from 21 Savage, Chance The Rapper, Kehlani, and SZA.",6.8,2018,"cardib2018invacy"
84,67,"Singularity","Jon Hopkins",2018-05-04,"The fifth full-length solo studio release for the British electronic artist/producer features elements from such styles and influences from acoustic piano, choral music, psychedelic ambient, and techno music.",8.2,2018,"jonhopkins2018sinity"
84,68,"The Sciences","Sleep",2018-04-20,"The fourth full-length surprise release for the Northern California stoner metal band is its first new album in nearly two decades.",7.9,2018,"sleep2018theces"
84,69,"Sparkle Hard","Stephen Malkmus & the Jicks",2018-05-18,"The seventh full-length release for the indie rock band features a guest appearance from Kim Gordon.",7.8,2018,"stephenmalkmusthejicks2018spaard"
84,70,"All Nerve","The Breeders",2018-03-02,"The first new studio release from alternative rock in 10 years features the same line-up (Kelley and Kim Deal, Josephine Wiggs, and Jim Macpherson) that was on 1993's Last Splash and includes contributions from Courtney Barnett and Steve Albini.",7.3,2018,"thebreeders2018allrve"
84,71,"Listening to Pictures (Pentimento Volume I)","Jon Hassell",2018-06-08,"This is the first new release in nine years for the ambient jazz trumpeter.",7.7,2018,"jonhassell2018lismei"
84,72,"Premonitions","Miya Folick",2018-10-26,"The debut full-length release for the Los Angeles singer-songwriter was produced with Justin Raisen and Yves Rothman.",7.7,2018,"miyafolick2018preons"
84,73,"Negro Swan","Blood Orange",2018-08-24,"The fourth full-length release for Dev Hynes as Blood Orange was self-produced and features guest appearances from A$AP Rocky, Ian Isiah, Steve Lacy, Janet Mock, Anne Muldrow, Project Pat, Puff Daddy, and Tei Shi.",8.2,2018,"bloodorange2018negwan"
84,74,"Rebound","Eleanor Friedberger",2018-05-04,"The fourth full-length solo release for the Fiery Furnace member was recorded with producer Clemens Knieper.",7.6,2018,"eleanorfriedberger2018rebund"
84,75,"Solo Piano III","Chilly Gonzales",2018-09-07,"This is the third and final part of the Canadian pianist's Solo Piano trilogy of albums.",NA,2018,"chillygonzales2018soliii"
84,76,"Raw Silk Uncut Wood","Laurel Halo",2018-07-13,"The six-track instrumental release from the Berlin-based electronic producer features percussion by Eli Keszler and Oliver Coates on the cello.",8,2018,"laurelhalo2018rawood"
84,77,"Hunter","Anna Calvi",2018-08-31,"The third full-length release for the British singer-songwriter was produced by Nicolas Launay and features contributions from Adrian Utley of Portishead and The Bad Seeds member Martyn Casey.",8,2018,"annacalvi2018hunter"
84,78,"Everything's Fine","Jean Grae",2018-04-27,"The debut release for the collaboration between Jean Grae and Quelle Chris features guest appearances from Big Tone, Hannibal Buress, Michael Che, John Hodgman, Ashok ""Dap"" Kondabolu, Mosel, Nick Offerman, Denmark Vessey, Anna Wise, and Your Old Droog.",8.5,2018,"jeangrae2018eveine"
84,79,"Song for Alpha","Daniel Avery",2018-04-06,"This is the second full-length release for the British electronic producer.",7.3,2018,"danielavery2018sonpha"
84,80,"Freedom's Goblin","Ty Segall",2018-01-26,"The 10th full-length solo release for the California singer-songwriter features a cover of Hot Chocolate's 1978 song, ""Every 1's a Winner"" with Fred Armisen on percussions.",8,2018,"tysegall2018frelin"
84,81,"Don't Look Away","Alexander Tucker",2018-08-24,"The third and final part of the British experimental artist's trilogy of albums that begun with 2011's Dorwytch.",NA,2018,"alexandertucker2018donway"
83,82,"Autobiography","Jlin",2018-09-28,"The electronic producer worked with choreographer Wayne McGregor to create this score for his contemporary dance piece of the same name.",7.1,2018,"jlin2018autphy"
83,83,"Magus","Thou",2018-08-31,"The fifth full-length release for the Baton Rouge-based doom/sludge metal band was recorded by James Whitten.",7.5,2018,"thou2018maggus"
83,84,"Aviary","Julia Holter",2018-10-26,"The fifth full-length release for the Los Angeles-based singer-songwriter was inspired in part by a 2009 short story by Lebanese-American poet and essayist Etel Adnan.",8,2018,"juliaholter2018aviary"
83,85,"Anticlines","Lucrecia Dalt",2018-05-04,"The sixth full-length release for the Colombian experimental producer features spoken-word sections she created with Henry Andersen.",NA,2018,"lucreciadalt2018antnes"
83,86,"Look Now","Elvis Costello & the Imposters",2018-10-12,"The first album for Costello with the Imposters since 2008's Momofuku was co-produced Sebastian Krys and features a guest appearance from  Burt Bacharach.",7.4,2018,"elviscostellotheimposters2018loonow"
83,87,"Dose Your Dreams","Fucked Up",2018-10-05,"The fifth full-length studio release for the Canadian punk band continues the story of David Eliade (the character in the song ""David Comes to Life"") and features contributions from Jennifer Castle, J Mascis, Owen Pallett, and Lido Pimienta.",7.6,2018,"fuckedup2018dosams"
83,88,"Saturn","nao",2018-10-26,"The second full-length release for the British R&B artist features guest appearances from Kwabs and SiR.",8.1,2018,"nao2018saturn"
83,89,"The Prodigal Son","Ry Cooder",2018-05-11,"The first new full-length solo release in six years for the guitarist was produced with his son, Joachim Cooder.",6.8,2018,"rycooder2018theson"
83,90,"Loner","Caroline Rose",2018-02-23,"The third full-length release for the singer-songwriter features influences from electronic, folk, pop, surf and punk music and was co-produced with Paul Butler.",7.9,2018,"carolinerose2018lonner"
83,91,"Beyondless","Iceage",2018-05-04,"The fourth full-length release for the Danish post-punk band features a guest appearance from Sky Ferreira and was produced by Nis Bysted.",8.1,2018,"iceage2018beyess"
83,92,"All Melody","Nils Frahm",2018-01-26,"The ninth full-length studio release for the German electronic composer/producer was recorded in his studio in the East Berlin Funkhaus building.",8.1,2018,"nilsfrahm2018allody"
83,93,"Mozart's Mini-Mart","Go-Kart Mozart",2018-02-23,"The third full-length release for the indie rock band led by Lawrence (frontman for Felt and Denim) was produced with Papernut Cambridge's Ian Button.",7.2,2018,"gokartmozart2018mozart"
83,94,"Follow Them True","Stick in the Wheel",2018-01-26,"The second full-length release for the British folk quintet led by singer Nicola Kearey was produced by the band's guitarist Ian Carter.",7.6,2018,"stickinthewheel2018folrue"
83,95,"Future Me Hates Me","The Beths",2018-08-10,"The debut full-length release for the indie pop/rock quartet formed at the University of Auckland was produced by the band's guitarist Jonathan Pearce.",8.4,2018,"thebeths2018futsme"
83,96,"Electric Messiah","High on Fire",2018-10-05,"The eighth full-length studio release for the Oakland, California-based metal band led by Matt Pike was produced by Kurt Ballou.",7.6,2018,"highonfire2018eleiah"
83,97,"Street Safari","Public Access T.V.",2018-02-23,"The second full-length release for the New York post-punk band led by John Eatherly was produced by Patrick Wimberly.",7.3,2018,"publicaccesstv2018strari"
83,98,"God's Favorite Customer","Father John Misty",2018-06-01,"The fourth full-length release for Josh Tillman as Father John Misty was written mostly in New York, including a two-months at a hotel and features contributions from Dave Cerminara, Haxan Cloak, Natalie Mering of Weyes Blood, Jonathan Rado, Trevor Spencer, and Jonathan Wilson.",8,2018,"fatherjohnmisty2018godmer"
83,99,"Songs of Praise","Shame",2018-01-12,"This is the debut full-length release for the British post-punk quintet that includes Charlie Steen, Sean Coyle-Smith, Eddie Green, Josh Finerty, and Charlie Forbes.",7.8,2018,"shame2018sonise"
83,100,"Age Of","Oneohtrix Point Never",2018-06-01,"The ninth full-length release for producer Daniel Lopatin features contributions from Anohni, James Blake, Eli Keszler, Kelsey Lu, and Prurient.",7.8,2018,"oneohtrixpointnever2018ageeof"
83,101,"A  Brief Inquiry into Online Relationships","The 1975",2018-11-30,"The third full-length release for the British rock band was produced by the band's own Matthew Healy and George Daniel.",8.2,2018,"the19752018abrips"
83,102,"Abysskiss","Adrianne Lenker",2018-10-05,"The latest full-length solo release for the Big Thief frontwoman was produced by Luke Temple.",8.4,2018,"adriannelenker2018abyiss"
83,103,"New Hymn to Freedom","Szun Waves",2018-08-31,"The second full-length release for the British trio that includes producer Luke Abbott, Triosk/PVT's Laurence Pike and Portico Quartet's Jack Wyllie was improvised and recorded live.",7.7,2018,"szunwaves2018newdom"
83,104,"What a Time to Be Alive","Superchunk",2018-02-16,"The 11th full-length studio release for the indie rock band led by Mac McCaughan features guest appearances from David Bazan, Katie Crutchfield, Sabrina Ellis, Skylar Gudasz, and Stephin Merritt.",7.9,2018,"superchunk2018whaive"
83,105,"All That Reckoning","Cowboy Junkies",2018-07-13,"The first full-length studio release in six years for the Canadian alt-country/folk rock band led by Michael Timmins.",7.6,2018,"cowboyjunkies2018alling"
83,106,"Hive Mind","The Internet",2018-07-20,"The fourth full-length release for the R&B band that includes Syd, Matt Martians, Steve Lacy, Patrick Paige II, and Christopher Smith was self-produced.",8,2018,"theinternet2018hivind"
82,107,"Years","Sarah Shook & the Disarmers",2018-04-06,"The second full-length release for the North Carolina-based alt-country band is a follow-up to her 2015 self-released debut (that was re-released in 2017 by Bloodshot).",NA,2018,"sarahshookthedisarmers2018yeaars"
82,108,"Lavender","Half Waif",2018-04-27,"The second full-length release for the Nandi Rose Plunkett project that includes two of her Pinegrove bandmates was co-produced with David Tolomei.",8.3,2018,"halfwaif2018lavder"
82,109,"Qualm","Helena Hauff",2018-08-03,"The second full-length release for the German DJ/electronic producer features less layers and instruments than previous releases.",7.5,2018,"helenahauff2018quaalm"
82,110,"Babelsberg","Gruff Rhys",2018-06-08,"The fifth full-length solo release for the Super Furry Animals/Neon Neon member was self-produced and features Stephen McNeff and the National Orchestra of Wales.",8.2,2018,"gruffrhys2018baberg"
82,111,"How to Socialise & Make Friends","Camp Cope",2018-03-02,"The second full-length release for the Australian trio of Georgia McDonald, Kelly-Dawn Hellmrich and Sarah Thompson was recorded in two-and-a-half days.",7.7,2018,"campcope2018hownds"
82,112,"We're Your Friends, Man","The Bevis Frond",2018-12-07,"This is the 25th full-length studio release for British psychedelic rock band led by Nick Saloman.",NA,2018,"thebevisfrond2018werman"
82,113,"Heaven","Dilly Dally",2018-09-14,"The second full-length release for the Toronto-based rock band was recorded in Los Angeles with producer Rob Schnapf.",7.5,2018,"dillydally2018heaven"
82,114,"At Weddings","Tomberlin",2018-08-10,"The debut full-length release for Kentucky-based singer-songwriter Sarah Beth Tomberlin was produced and mixed by Owen Pallett.",6.7,2018,"tomberlin2018atwngs"
82,115,"Construction Time & Demolition","Wreckless Eric",2018-04-06,"The sixth full-length solo release for Eric Goulden under the Wreckless Eric name is his first in three years.",NA,2018,"wrecklesseric2018conion"
82,116,"Now Only","Mount Eerie",2018-03-16,"The ninth full-length release for Phil Elverum as Mount Eerie was written soon after the release of 2017's A Crow Looked At Me.",7.9,2018,"mounteerie2018nownly"
82,117,"The Lookout","Laura Veirs",2018-04-13,"The 10th full-length solo release for the singer-songwriter was produced by Tucker Martin and features contributions from Jim James and Sufjan Stevens.",8.1,2018,"lauraveirs2018theout"
82,118,"Wide Awake!","Parquet Courts",2018-05-18,"The sixth full-length studio release for the New York rock band was produced by Danger Mouse.",8.2,2018,"parquetcourts2018widake"
82,119,"Our Raw Heart","YOB",2018-06-08,"The eight full-length release for the Oregon metal trio was co-produced with Billy Barnett and written after frontman Mike Scheidt recovered from a near fatal illness caused by the intestinal disease, acute diverticulitis.",8,2018,"yob2018ourart"
82,120,"With Animals","Mark Lanegan",2018-08-24,"The second full-length collaboration between Mark Lanegan and Duke Garwood was recorded in Los Angeles, Pasadena and Joshua Tree.",7.8,2018,"marklanegan2018witals"
82,121,"Suspiria [Original Motion Picture Soundtrack]","Thom Yorke",2018-10-26,"The soundtrack for Luca Guadagnino's remake of the 1977 film of the same name is the first feature film soundtrack for the Radiohead singer.",8.5,2018,"thomyorke2018susack"
82,122,"Make Way for Love","Marlon Williams",2018-02-16,"The second full-length solo release for the New Zealand singer-songwriter features a guest appearance from Aldous Harding and was produced by Noah Georgeson.",8.1,2018,"marlonwilliams2018makove"
82,123,"Sister Cities","The Wonder Years",2018-04-06,"The sixth full-length release for the Philadelphia pop-punk band was produced by Joe Chiccarelli.",7.8,2018,"thewonderyears2018sisies"
82,124,"Caution","Mariah Carey",2018-11-16,"The 15th full-length studio release for the pop singer features guest appearances from Blood Orange, Gunna, Slick Rick, and Ty Dolla Sign.",7.3,2018,"mariahcarey2018cauion"
82,125,"Black Times","Seun Kuti & Egypt 80",2018-03-02,"The fourth full-length release from the youngest son of Fela Kuti features a guest appearances from Carlos Santana and was produced by Robert Glasper.",NA,2018,"seunkutiegypt802018blames"
82,126,"Nothing Is Still","Leon Vynehall",2018-06-15,"The debut full-length studio release for the British electronic producer features contributions from Sam Beste, Finn Peters and a ten-piece string section arranged by Amy Langley.",8.1,2018,"leonvynehall2018notill"
82,127,"The Future and the Past","Natalie Prass",2018-06-01,"The second full-length release for the Virginia singer-songwriter was produced with Mathew E. White.",7.6,2018,"natalieprass2018theast"
82,128,"Fallen Trees","Lubomyr Melnyk",2018-12-07,"The latest full-length release for the Ukrainian pianist/composer features contributions from David Allred, Anne Müller, and Hatis Noit.",NA,2018,"lubomyrmelnyk2018falees"
82,129,"Songs You Make at Night","Tunng",2018-08-24,"The sixth full-length release for the British folktronica collective feature the original line-up.",NA,2018,"tunng2018songht"
82,130,"Now That I'm a River","Charles Watson",2018-05-18,"The debut full-length solo release for the Slow Club/The Surfing Magazines member was self-produced.",NA,2018,"charleswatson2018nowver"
82,131,"Nearer My God","Foxing",2018-08-10,"The third full-length release for the St. Louis indie rock band was produced by Matt Bayles.",8.2,2018,"foxing2018neagod"
82,132,"Historian","Lucy Dacus",2018-03-02,"The second full-length release for the Virginia-based indie singer-songwriter was produced by Collin Pastore and mixed by John Congleton.",8.3,2018,"lucydacus2018hisian"
82,133,"Childqueen","Kadhja Bonet",2018-06-08,"The second full-release for the Los Angeles-based artist was self-produced and mixed.",8.7,2018,"kadhjabonet2018chieen"
81,134,"Le Kov","Gwenno",2018-03-02,"The singer-songwriter worked with Rhys Edwards on her second full-length release sung entirely in the Cornish-language.",7.8,2018,"gwenno2018lekkov"
81,135,"Irisiri","Eartheater",2018-06-08,"The third full-length release for the Queens-based experimental artist Alexandra Drewchin features guest appearances by Moor Mother and Odwalla1221.",NA,2018,"eartheater2018iriiri"
81,136,"Bellowing Sun","Mind Over Mirrors",2018-04-06,"The latest full-length release for Jaime Fennelly's solo project was originally Commissioned by the  Museum of Contemporary Art Chicago and was produced by Tortoise's John McEntire.",NA,2018,"mindovermirrors2018belsun"
81,137,"Broken Politics","Neneh Cherry",2018-10-19,"The fifth full-length solo studio release for the pop singer-songwriter was produced by Four Tet.",8,2018,"nenehcherry2018broics"
81,138,"True Meanings","Paul Weller",2018-09-14,"The 14th full-length solo studio release for British singer-songwriter was recorded in just over three weeks and features contributions from Rod Argent, Martin Carthy, Erland Cooper, Connor O’Brien, and Danny Thompson.",7.9,2018,"paulweller2018trungs"
81,139,"Shelly's on Zenn-La","Oliver Coates",2018-09-07,"The third full-length solo release for the British cellist and producer features guest appearances from Chrysanthemum Bear, Malibu and Kathryn Williams.",NA,2018,"olivercoates2018shenla"
