"Metacritic_Score","Album_Name","Singer","Release_Date","Desciption","User_Score","Release_Year"
87,"Cocoa Sugar","Young Fathers",2018-03-09,"The third full-length release for the Edinburgh-based trio was recorded in the band's studio.",8.7,2018
87,"Freedom","Amen Dunes",2018-03-30,"The fifth full-length release for Damon McMahon features contributions from Delicate Steve, Parker Kindred, Gus Seyffert , Jordi Wheeler,  Nick Zinner and was produced by Chris Coady.",8.2,2018
87,"Isolation","Kali Uchis",2018-04-06,"The debut full-length studio release for the Virginia artist features guest appearances from BIA, Bootsy Collins, Steve Lacy, Reykon, Jorja Smith and Tyler, The Creator as well as production from BadBadNotGood, Gorillaz, Greg Kurstin, Kevin Parker, Dave Sitek, and Thundercat.",8.7,2018
87,"Springsteen on Broadway","Bruce Springsteen",2018-12-14,"The two-CD set features the complete audio of Springsteen's one-man Broadway show at Walter Kerr Theatre recorded on July 17 and 18, 2018 for Netflix.",7.9,2018
86,"Oil Of Every Pearl's Un-Insides","SOPHIE",2018-06-15,"The debut full-length solo release for the Los Angeles-based Scottish electronic pop artist features songs co-written with Calia Thompson-Hannant (aka Cecile Believe).",8.4,2018
86,"Sparrow","Ashley Monroe",2018-04-20,"The fourth full-length release for the country singer-songwriter was produced with Dave Cobb.",6.6,2018
86,"Tracyanne & Danny","Tracyanne & Danny",2018-05-25,"The debut full-length release for the collaboration between Camera Obscura's Tracyanne Campbell and Crybaby's Danny Coughlan was produced by Edwyn Collins.",7.3,2018
86,"Jericho Sirens","Hot Snakes",2018-03-16,"The first new release for the San Diego post-hardcore band in 14 years was self-recorded and produced.",7.9,2018
86,"Remain In Light","Angélique Kidjo",2018-06-08,"The Beninese singer-songwriter covers the entire Talking Heads' 1980 album Remain In Light.",8.2,2018
86,"Heaven & Earth","Kamasi Washington",2018-06-22,"The second full-length release for the Los Angeles jazz saxophonist features contributions from Tony Austin, Ronald Bruner, Jr., Brandon Coleman, Cameron Graves, Terrace Martin, Miles Mosley, Patrice Quinn, and Thundercat.",8,2018
86,"Radyo Siwèl","Mélissa Laveaux",2018-03-23,"The fourth full-length release for the Canadian-born artist was influenced by her Haitian heritage.",NA,2018
86,"Double Negative","Low",2018-09-14,"The 12th full-length release for the indie rock trio was produced by B.J. Burton.",8,2018
86,"To the Sunset","Amanda Shires",2018-08-03,"The sixth full-length solo release for the singer-songwriter was produced by Dave Cobb.",7.4,2018
86,"(After) [Live]","Mount Eerie",2018-09-21,"The live recording of some of Phil Elverum's songs from A Crow Looked At Me and Now Only performed in a 13th century Gothic church during 2017's Le Guess Who? festival in the Netherlands.",NA,2018
86,"DAYTONA","Pusha T",2018-05-25,"The third full-length studio release for the rapper features guest appearances from Rick Ross and Kanye West.",8.5,2018
86,"Phantom Thread [Original Motion Picture Soundtrack]","Jonny Greenwood",2018-02-09,"The ninth soundtrack from the Radiohead guitarist is his fourth for a Paul Thomas Anderson film.",8.2,2018
86,"Some Rap Songs","Earl Sweatshirt",2018-11-30,"The third full-length studio release for the Los Angeles-based rapper features guest appearances by Navy Blue and Standing On The Corner as well as vocal samples of his parents: Cheryl Harris and (the late) Keorapetse Kgositsile.",8.4,2018
86,"All at Once","Screaming Females",2018-02-23,"The seventh full-length release for the New Jersey punk trio was produced by Matt Bayles.",7.8,2018
85,"Knock Knock","DJ Koze",2018-05-04,"The latest release for the German electronic artist features guest appearances from Eddie Fummler, José Gonzalez, Sophia Kennedy, Mano Le Tough, Róisín Murphy, Arrested Development's Speech, and Kurt Wagner.",8,2018
85,"Glass","Alva Noto",2018-02-16,"The latest collaboration between Ryuichi Sakamoto and Carsten Nicolai  was recorded at the Glass House in Connecticut in 2014.",7.6,2018
85,"Iridescence","BROCKHAMPTON",2018-09-21,"The fourth full-length release for the Texan rap group was recorded in  Abbey Road Studios as well as Hawaii.",7.9,2018
85,"Ordinary Corrupt Human Love","Deafheaven",2018-07-13,"The fourth full-length studio release for the San Francisco black metal band was produced by Jack Shirley",8.1,2018
85,"Working Class Woman","Marie Davidson",2018-10-05,"The fourth full-length release for the Canadian electronic producer features influences from Italo Disco and proto-industrial music.",7.8,2018
85,"Transangelic Exodus","Ezra Furman",2018-02-09,"The seventh full-length release for the singer-songwriter was produced by Tim Sandusky.",8,2018
85,"Things Have Changed","Bettye LaVette",2018-03-30,"The soul singer's reinterpretations of Bob Dylan songs was produced by Steve Jordan and feature guest appearances from Keith Richards and Trombone Shorty.",7.3,2018
85,"I'm All Ears","Let's Eat Grandma",2018-06-29,"The second full-length release for the British duo of Jenny Hollingworth and Rosa Walton features production from Faris Badwan, SOPHIE, and David Wrench.",8.1,2018
85,"Hell-On","Neko Case",2018-06-01,"The latest full-length solo release for the singer-songwriter features contributions from Eric Bachmann, Joey Burns, Beth Ditto, Doug Gillard, Kelly Hogan, Mark Lanegan, k.d. Lang, AC Newman, and Laura Veirs, was self-produced with co-production on six tracks with Bjorn Yttling of Peter Bjorn & John.",7.8,2018
85,"Interstate Gospel","Pistol Annies",2018-11-02,"The third full-length release for the country trio of Miranda Lambert, Ashley Monroe and Angaleena Presley was produced by Frank Liddell.",8.3,2018
85,"Gave in Rest","Sarah Davachi",2018-09-14,"The second release in 2018 for the Canadian artist was inspired by her European tour and features contributions from Thierry Amar, Terri Hron, Lisa McGee, and Jessica Moss.",NA,2018
85,"Landfall","Laurie Anderson",2018-02-16,"Hurricane Sandy is the subject of the debut collaboration album from Laurie Anderson and the Kronos Quartet.",6.9,2018
85,"Ecstatic Arrow","Virginia Wing",2018-06-08,"The third full-length release for the British duo of Alice Richards and Samuel Pillay was recorded in Switzerland.",7.8,2018
85,"Astroworld","Travis Scott",2018-08-03,"The third solo release for the rapper features guest appearances and contributions from such artist as 21 Savage, James Blake, Drake, John Mayer, Frank Ocean, Pharrell, Quavo, Swae Lee, Tame Imapala, Sevn Thomas, Thundercat, and The Weeknd.",8.2,2018
85,"Bloom","Troye Sivan",2018-08-31,"The second full-length release for the Australian pop singer-songwriter features guest appearances from Ariana Grande and Gordi.",8.2,2018
84,"And Nothing Hurt","Spiritualized",2018-09-07,"The eighth full-length release is the first in six years for Jason Pierce may be his last as Spiritualized.",7.8,2018
84,"Warm","Jeff Tweedy",2018-11-30,"The second full-length solo release for the Wilco frontman was self-produced and recorded.",8,2018
84,"Snares Like a Haircut","No Age",2018-01-26,"The fourth full-length release for the duo of Randy Randall and Dean Allen Spunt is its first on the Drag City label.",7.9,2018
84,"The Hex","Richard Swift",2018-09-21,"The posthumous release for the singer-songwriter/producer was recorded over several years before it was completed a month before his death in July.",6.8,2018
84,"Kids See Ghosts","Kids See Ghosts",2018-06-08,"The debut surprise studio release for the collaboration between Kanye West and Kid Cudi features contributions from André 3000, Mos Def, Ty Dolla $ign as well as samples from Kurt Cobain's ""Burn the Rain"" and Louis Prima's ""What Would Santa Claus Do?"".",8.7,2018
84,"MITH","Lonnie Holley",2018-09-21,"The third full-length release for the Alabama-born sculptor-turned-singer features contributions from Sam Gendel, Laraaji, Nelson Patton, and Richard Swift.",NA,2018
84,"Last Man Standing","Willie Nelson",2018-04-27,"The latest full-length studio release for the legendary country singer-songwriter features 11 new songs co-written with producer Buddy Cannon.",7.7,2018
84,"Body","The Necks",2018-08-17,"The 20th full-length release for the Australian trio of Chris Abrahams, Lloyd Swanton, and Tony Buck consists of a single nearly 57-minute-long piece.",NA,2018
84,"Ephorize","CupcakKe",2018-01-05,"The third full-length release for the Chicago rapper was produced by Def Starz and Turreekk.",8.6,2018
84,"Hope Downs","Rolling Blackouts Coastal Fever",2018-06-15,"The debut full-length release for the Australian indie rock quintet was co-produced with Liam Judson and recorded live in a house in the Australian bush.",8,2018
84,"Insula","Proc Fiskal",2018-06-08,"The debut full-length release for the Edinburgh grime producer features everyday sounds like conversations, police sirens, dial tones as well as influences from Japanese video game music.",NA,2018
84,"Invasion of Privacy","Cardi B",2018-04-06,"The debut full-length studio release for the New York rap artist features guest appearances from 21 Savage, Chance The Rapper, Kehlani, and SZA.",6.8,2018
84,"Singularity","Jon Hopkins",2018-05-04,"The fifth full-length solo studio release for the British electronic artist/producer features elements from such styles and influences from acoustic piano, choral music, psychedelic ambient, and techno music.",8.2,2018
84,"The Sciences","Sleep",2018-04-20,"The fourth full-length surprise release for the Northern California stoner metal band is its first new album in nearly two decades.",7.9,2018
84,"Sparkle Hard","Stephen Malkmus & the Jicks",2018-05-18,"The seventh full-length release for the indie rock band features a guest appearance from Kim Gordon.",7.8,2018
84,"All Nerve","The Breeders",2018-03-02,"The first new studio release from alternative rock in 10 years features the same line-up (Kelley and Kim Deal, Josephine Wiggs, and Jim Macpherson) that was on 1993's Last Splash and includes contributions from Courtney Barnett and Steve Albini.",7.3,2018
84,"Listening to Pictures (Pentimento Volume I)","Jon Hassell",2018-06-08,"This is the first new release in nine years for the ambient jazz trumpeter.",7.7,2018
84,"Premonitions","Miya Folick",2018-10-26,"The debut full-length release for the Los Angeles singer-songwriter was produced with Justin Raisen and Yves Rothman.",7.7,2018
84,"Negro Swan","Blood Orange",2018-08-24,"The fourth full-length release for Dev Hynes as Blood Orange was self-produced and features guest appearances from A$AP Rocky, Ian Isiah, Steve Lacy, Janet Mock, Anne Muldrow, Project Pat, Puff Daddy, and Tei Shi.",8.2,2018
84,"Rebound","Eleanor Friedberger",2018-05-04,"The fourth full-length solo release for the Fiery Furnace member was recorded with producer Clemens Knieper.",7.6,2018
84,"Solo Piano III","Chilly Gonzales",2018-09-07,"This is the third and final part of the Canadian pianist's Solo Piano trilogy of albums.",NA,2018
84,"Raw Silk Uncut Wood","Laurel Halo",2018-07-13,"The six-track instrumental release from the Berlin-based electronic producer features percussion by Eli Keszler and Oliver Coates on the cello.",8,2018
84,"Hunter","Anna Calvi",2018-08-31,"The third full-length release for the British singer-songwriter was produced by Nicolas Launay and features contributions from Adrian Utley of Portishead and The Bad Seeds member Martyn Casey.",8,2018
84,"Everything's Fine","Jean Grae",2018-04-27,"The debut release for the collaboration between Jean Grae and Quelle Chris features guest appearances from Big Tone, Hannibal Buress, Michael Che, John Hodgman, Ashok ""Dap"" Kondabolu, Mosel, Nick Offerman, Denmark Vessey, Anna Wise, and Your Old Droog.",8.5,2018
84,"Song for Alpha","Daniel Avery",2018-04-06,"This is the second full-length release for the British electronic producer.",7.3,2018
84,"Freedom's Goblin","Ty Segall",2018-01-26,"The 10th full-length solo release for the California singer-songwriter features a cover of Hot Chocolate's 1978 song, ""Every 1's a Winner"" with Fred Armisen on percussions.",8,2018
84,"Don't Look Away","Alexander Tucker",2018-08-24,"The third and final part of the British experimental artist's trilogy of albums that begun with 2011's Dorwytch.",NA,2018
83,"Autobiography","Jlin",2018-09-28,"The electronic producer worked with choreographer Wayne McGregor to create this score for his contemporary dance piece of the same name.",7.1,2018
83,"Magus","Thou",2018-08-31,"The fifth full-length release for the Baton Rouge-based doom/sludge metal band was recorded by James Whitten.",7.5,2018
83,"Aviary","Julia Holter",2018-10-26,"The fifth full-length release for the Los Angeles-based singer-songwriter was inspired in part by a 2009 short story by Lebanese-American poet and essayist Etel Adnan.",8,2018
83,"Anticlines","Lucrecia Dalt",2018-05-04,"The sixth full-length release for the Colombian experimental producer features spoken-word sections she created with Henry Andersen.",NA,2018
83,"Look Now","Elvis Costello & the Imposters",2018-10-12,"The first album for Costello with the Imposters since 2008's Momofuku was co-produced Sebastian Krys and features a guest appearance from  Burt Bacharach.",7.4,2018
83,"Dose Your Dreams","Fucked Up",2018-10-05,"The fifth full-length studio release for the Canadian punk band continues the story of David Eliade (the character in the song ""David Comes to Life"") and features contributions from Jennifer Castle, J Mascis, Owen Pallett, and Lido Pimienta.",7.6,2018
83,"Saturn","nao",2018-10-26,"The second full-length release for the British R&B artist features guest appearances from Kwabs and SiR.",8.1,2018
83,"The Prodigal Son","Ry Cooder",2018-05-11,"The first new full-length solo release in six years for the guitarist was produced with his son, Joachim Cooder.",6.8,2018
83,"Loner","Caroline Rose",2018-02-23,"The third full-length release for the singer-songwriter features influences from electronic, folk, pop, surf and punk music and was co-produced with Paul Butler.",7.9,2018
83,"Beyondless","Iceage",2018-05-04,"The fourth full-length release for the Danish post-punk band features a guest appearance from Sky Ferreira and was produced by Nis Bysted.",8.1,2018
83,"All Melody","Nils Frahm",2018-01-26,"The ninth full-length studio release for the German electronic composer/producer was recorded in his studio in the East Berlin Funkhaus building.",8.1,2018
83,"Mozart's Mini-Mart","Go-Kart Mozart",2018-02-23,"The third full-length release for the indie rock band led by Lawrence (frontman for Felt and Denim) was produced with Papernut Cambridge's Ian Button.",7.2,2018
83,"Follow Them True","Stick in the Wheel",2018-01-26,"The second full-length release for the British folk quintet led by singer Nicola Kearey was produced by the band's guitarist Ian Carter.",7.6,2018
83,"Future Me Hates Me","The Beths",2018-08-10,"The debut full-length release for the indie pop/rock quartet formed at the University of Auckland was produced by the band's guitarist Jonathan Pearce.",8.4,2018
83,"Electric Messiah","High on Fire",2018-10-05,"The eighth full-length studio release for the Oakland, California-based metal band led by Matt Pike was produced by Kurt Ballou.",7.6,2018
83,"Street Safari","Public Access T.V.",2018-02-23,"The second full-length release for the New York post-punk band led by John Eatherly was produced by Patrick Wimberly.",7.3,2018
83,"God's Favorite Customer","Father John Misty",2018-06-01,"The fourth full-length release for Josh Tillman as Father John Misty was written mostly in New York, including a two-months at a hotel and features contributions from Dave Cerminara, Haxan Cloak, Natalie Mering of Weyes Blood, Jonathan Rado, Trevor Spencer, and Jonathan Wilson.",8,2018
83,"Songs of Praise","Shame",2018-01-12,"This is the debut full-length release for the British post-punk quintet that includes Charlie Steen, Sean Coyle-Smith, Eddie Green, Josh Finerty, and Charlie Forbes.",7.8,2018
83,"Age Of","Oneohtrix Point Never",2018-06-01,"The ninth full-length release for producer Daniel Lopatin features contributions from Anohni, James Blake, Eli Keszler, Kelsey Lu, and Prurient.",7.8,2018
83,"A  Brief Inquiry into Online Relationships","The 1975",2018-11-30,"The third full-length release for the British rock band was produced by the band's own Matthew Healy and George Daniel.",8.2,2018
83,"Abysskiss","Adrianne Lenker",2018-10-05,"The latest full-length solo release for the Big Thief frontwoman was produced by Luke Temple.",8.4,2018
83,"New Hymn to Freedom","Szun Waves",2018-08-31,"The second full-length release for the British trio that includes producer Luke Abbott, Triosk/PVT's Laurence Pike and Portico Quartet's Jack Wyllie was improvised and recorded live.",7.7,2018
83,"What a Time to Be Alive","Superchunk",2018-02-16,"The 11th full-length studio release for the indie rock band led by Mac McCaughan features guest appearances from David Bazan, Katie Crutchfield, Sabrina Ellis, Skylar Gudasz, and Stephin Merritt.",7.9,2018
83,"All That Reckoning","Cowboy Junkies",2018-07-13,"The first full-length studio release in six years for the Canadian alt-country/folk rock band led by Michael Timmins.",7.6,2018
83,"Hive Mind","The Internet",2018-07-20,"The fourth full-length release for the R&B band that includes Syd, Matt Martians, Steve Lacy, Patrick Paige II, and Christopher Smith was self-produced.",8,2018
82,"Years","Sarah Shook & the Disarmers",2018-04-06,"The second full-length release for the North Carolina-based alt-country band is a follow-up to her 2015 self-released debut (that was re-released in 2017 by Bloodshot).",NA,2018
82,"Lavender","Half Waif",2018-04-27,"The second full-length release for the Nandi Rose Plunkett project that includes two of her Pinegrove bandmates was co-produced with David Tolomei.",8.3,2018
82,"Qualm","Helena Hauff",2018-08-03,"The second full-length release for the German DJ/electronic producer features less layers and instruments than previous releases.",7.5,2018
82,"Babelsberg","Gruff Rhys",2018-06-08,"The fifth full-length solo release for the Super Furry Animals/Neon Neon member was self-produced and features Stephen McNeff and the National Orchestra of Wales.",8.2,2018
82,"How to Socialise & Make Friends","Camp Cope",2018-03-02,"The second full-length release for the Australian trio of Georgia McDonald, Kelly-Dawn Hellmrich and Sarah Thompson was recorded in two-and-a-half days.",7.7,2018
82,"We're Your Friends, Man","The Bevis Frond",2018-12-07,"This is the 25th full-length studio release for British psychedelic rock band led by Nick Saloman.",NA,2018
82,"Heaven","Dilly Dally",2018-09-14,"The second full-length release for the Toronto-based rock band was recorded in Los Angeles with producer Rob Schnapf.",7.5,2018
82,"At Weddings","Tomberlin",2018-08-10,"The debut full-length release for Kentucky-based singer-songwriter Sarah Beth Tomberlin was produced and mixed by Owen Pallett.",6.7,2018
82,"Construction Time & Demolition","Wreckless Eric",2018-04-06,"The sixth full-length solo release for Eric Goulden under the Wreckless Eric name is his first in three years.",NA,2018
82,"Now Only","Mount Eerie",2018-03-16,"The ninth full-length release for Phil Elverum as Mount Eerie was written soon after the release of 2017's A Crow Looked At Me.",7.9,2018
82,"The Lookout","Laura Veirs",2018-04-13,"The 10th full-length solo release for the singer-songwriter was produced by Tucker Martin and features contributions from Jim James and Sufjan Stevens.",8.1,2018
82,"Wide Awake!","Parquet Courts",2018-05-18,"The sixth full-length studio release for the New York rock band was produced by Danger Mouse.",8.2,2018
82,"Our Raw Heart","YOB",2018-06-08,"The eight full-length release for the Oregon metal trio was co-produced with Billy Barnett and written after frontman Mike Scheidt recovered from a near fatal illness caused by the intestinal disease, acute diverticulitis.",8,2018
82,"With Animals","Mark Lanegan",2018-08-24,"The second full-length collaboration between Mark Lanegan and Duke Garwood was recorded in Los Angeles, Pasadena and Joshua Tree.",7.8,2018
82,"Suspiria [Original Motion Picture Soundtrack]","Thom Yorke",2018-10-26,"The soundtrack for Luca Guadagnino's remake of the 1977 film of the same name is the first feature film soundtrack for the Radiohead singer.",8.5,2018
82,"Make Way for Love","Marlon Williams",2018-02-16,"The second full-length solo release for the New Zealand singer-songwriter features a guest appearance from Aldous Harding and was produced by Noah Georgeson.",8.1,2018
82,"Sister Cities","The Wonder Years",2018-04-06,"The sixth full-length release for the Philadelphia pop-punk band was produced by Joe Chiccarelli.",7.8,2018
82,"Caution","Mariah Carey",2018-11-16,"The 15th full-length studio release for the pop singer features guest appearances from Blood Orange, Gunna, Slick Rick, and Ty Dolla Sign.",7.3,2018
82,"Black Times","Seun Kuti & Egypt 80",2018-03-02,"The fourth full-length release from the youngest son of Fela Kuti features a guest appearances from Carlos Santana and was produced by Robert Glasper.",NA,2018
82,"Nothing Is Still","Leon Vynehall",2018-06-15,"The debut full-length studio release for the British electronic producer features contributions from Sam Beste, Finn Peters and a ten-piece string section arranged by Amy Langley.",8.1,2018
82,"The Future and the Past","Natalie Prass",2018-06-01,"The second full-length release for the Virginia singer-songwriter was produced with Mathew E. White.",7.6,2018
82,"Fallen Trees","Lubomyr Melnyk",2018-12-07,"The latest full-length release for the Ukrainian pianist/composer features contributions from David Allred, Anne Müller, and Hatis Noit.",NA,2018
82,"Songs You Make at Night","Tunng",2018-08-24,"The sixth full-length release for the British folktronica collective feature the original line-up.",NA,2018
82,"Now That I'm a River","Charles Watson",2018-05-18,"The debut full-length solo release for the Slow Club/The Surfing Magazines member was self-produced.",NA,2018
82,"Nearer My God","Foxing",2018-08-10,"The third full-length release for the St. Louis indie rock band was produced by Matt Bayles.",8.2,2018
82,"Historian","Lucy Dacus",2018-03-02,"The second full-length release for the Virginia-based indie singer-songwriter was produced by Collin Pastore and mixed by John Congleton.",8.3,2018
82,"Childqueen","Kadhja Bonet",2018-06-08,"The second full-release for the Los Angeles-based artist was self-produced and mixed.",8.7,2018
81,"Le Kov","Gwenno",2018-03-02,"The singer-songwriter worked with Rhys Edwards on her second full-length release sung entirely in the Cornish-language.",7.8,2018
81,"Irisiri","Eartheater",2018-06-08,"The third full-length release for the Queens-based experimental artist Alexandra Drewchin features guest appearances by Moor Mother and Odwalla1221.",NA,2018
81,"Bellowing Sun","Mind Over Mirrors",2018-04-06,"The latest full-length release for Jaime Fennelly's solo project was originally Commissioned by the  Museum of Contemporary Art Chicago and was produced by Tortoise's John McEntire.",NA,2018
81,"Broken Politics","Neneh Cherry",2018-10-19,"The fifth full-length solo studio release for the pop singer-songwriter was produced by Four Tet.",8,2018
81,"True Meanings","Paul Weller",2018-09-14,"The 14th full-length solo studio release for British singer-songwriter was recorded in just over three weeks and features contributions from Rod Argent, Martin Carthy, Erland Cooper, Connor O’Brien, and Danny Thompson.",7.9,2018
81,"Shelly's on Zenn-La","Oliver Coates",2018-09-07,"The third full-length solo release for the British cellist and producer features guest appearances from Chrysanthemum Bear, Malibu and Kathryn Williams.",NA,2018
81,"Lala Belu","Hailu Mergia",2018-02-23,"The first new release in 15 years for the Ethiopian keyboard and accordion player features contributions from Tony Buck and Mike Majkowski.",NA,2018
81,"Angels of Death","Jennifer Castle",2018-05-18,"The third full-length release for the Canadian singer-songwriter was written in a 19th century church near Lake Erie.",NA,2018
81,"Onion","Shannon and the Clams",2018-02-16,"The fifth full-length release for the Oakland, California quartet was produced by the Black Keys' Dan Auerbach.",7.8,2018
81,"Bark Your Head Off, Dog","Hop Along",2018-04-06,"The third full-length release for the Philadelphia indie rock band led by Frances Quinlan was self-produced and recorded.",8,2018
81,"13 Rivers","Richard Thompson",2018-09-14,"The latest full-length solo release for the British singer-songwriter was self-produced.",8.3,2018
81,"Dead Magic","Anna von Hausswolff",2018-03-02,"The fourth full-length release for the Swedish singer-songwriter features a 20th century pipe organ and was produced by Randall Dunn.",8.3,2018
81,"By the Way I Forgive You","Brandi Carlile",2018-02-16,"The sixth full-length studio release for the singer-songwriter was co-produced by Dave Cobb and Shooter Jennings.",7.9,2018
81,"Damned Devotion","Joan as Police Woman",2018-02-09,"The fifth full-length release for Joan Wasser was produced with Thomas Bartlett and Parker Kindred.",6.4,2018
81,"Open Here","Field Music",2018-02-02,"The sixth full-length release for the British alternative rock band features contributions from Liz Corney, Ed Cross, Simon Dennis, Pete Fraser, Sarah Hayes, Ele Leckie, Jo Montgomery, and Chrissie Slater.",8,2018
81,"Konoyo","Tim Hecker",2018-09-28,"The experimental electronic composer collaborated with gagaku ensemble Tokyo Gakuso on his ninth full-length release.",7.8,2018
81,"American Dollar Bill - Keep Facing Sideways, You're Too Hideous To Look at Face On","Sumac",2018-02-23,"The collaboration between Keiji Haino and Sumac was recorded during improvised sessions.",NA,2018
81,"Redemption","Jay Rock",2018-06-15,"The third full-length studio release for the Southern California rapper features guest appearances from J. Cole, Future, Jeremih, Kendrick Lamar, and SZA.",8.1,2018
81,"LUMP","LUMP",2018-06-01,"The debut full-length release for the collaboration between Laura Marling and Mike Lindsay was recorded in London.",8,2018
81,"Prequelle","Ghost",2018-06-01,"The fourth full-length studio release for the Swedish metal band was produced by Tom Dalgety.",8.2,2018
81,"Palo Santo","Years & Years",2018-07-06,"The second full-length release for the British electronic pop trio led by Olly Alexander features contributions from such artist as Greg Kurstin, Steve Mac, Julia Michaels, Justin Tranter, and Two Inch Punch.",8.2,2018
81,"Room Inside the World","Ought",2018-02-16,"The third full-length release for the Canadian post-punk band was produced by Nicolas Vernhes.",8,2018
81,"Extralife","Darlingside",2018-02-23,"The third full-length release for the Massachusetts alt-folk band was co-produced with Dan Cardinal.",NA,2018
81,"FM!","Vince Staples",2018-11-02,"The third full-length studio release for the California rapper features guest appearances from E-40, Jay Rock, Kamaiyah, Kehlani, Earl Sweatshirt, Ty Dolla $ign, and Tyga.",8,2018
81,"Shelter","Olivia Chaney",2018-06-15,"The second full-length solo release for the British folk singer-songwriter was produced by Thomas Bartlett.",NA,2018
81,"Chemistry Lessons Volume 1","Chris Carter",2018-03-30,"The first new full-length solo release for the Carter Tutti/Throbbing Gristle artist in 17 years was influenced in part by the death of Throbbing Gristle's Peter Christopherson, British folk music and the BBC Radiophonic Workshop.",NA,2018
81,"Lost & Found","Jorja Smith",2018-06-08,"The debut full-length release for the British R&B singer-songwriter features contributions from Dizzee Rascal, Amanda Ghost, and Tom Misch.",8.4,2018
81,"Ultraviolet","Kelly Moran",2018-11-02,"The first release on the Warp label for the Brooklyn-based composer, producer and multi-instrumentalist features influences from black metal, classical, dream pop, and jazz music.",7.8,2018
81,"Your Queen Is A Reptile","Sons of Kemet",2018-03-30,"The third full-length release for the jazz quartet led by the tenor saxophonist Shabaka Hutchings features contributions from Josh Idehen and Congo Natty.",8.3,2018
81,"Be More Kind","Frank Turner",2018-05-04,"The seventh full-length studio release for the British singer-songwriter was produced by Joshua Block, Austin Jenkins and Charlie Hugall.",7,2018
81,"Time & Space","Turnstile",2018-02-23,"The second full-length release for the Baltimore hardcore band was produced by Will Yip.",7.5,2018
81,"Loma","Loma",2018-02-16,"This is the debut full-length release for the project formed by Shearwater's Jonathan Meiburg, and Emily Cross and Dan Duszynski of Cross Record.",8,2018
